Row Labels,Sum of Amount
ISLAM SOAP INDUSTRIES PRIVATE LTD 9 KM KIRI BHAIT NANKANA ROAD SHAHKOT DISTT NANMKANA SAHAB PK," 35,429,984.88 "
"MB TRADERS 805, UNI PLAZA, I.I. CHUNDRIGAR ROAD KARACHI"," 2,975,873.87 "
M S ALPHA CHEMICAL CO AHMED ARCADE DARYALAL STREET JODIA BAZAR KARACHI," 2,962,079.39 "
NAFEES ENTERPRISES 767 881 STREET 29 C MEHMOODABAD NO 6 KARACHI 5384613   03002118356," 2,069,170.48 "
"LEADER TANNERIES NIAZ NAGAR KASUR, PAKISTAN "," 1,467,496.80 "
37," 562,935,577.56 "
FRONTIER TECH WOOD INDS PVT LTD 98 INDUSTRIAL ESTATE JAMRUD ROAD PESHAWAR," 350,632,475.84 "
"FRONTIER GREEN WOOD INDUSTRIES (PVT) LTD., W 28, 29 AND PLOT NO. 14, 27 INDUSTRIAL ESTATE, JAMRUD ROAD, PESHAWAR, PAKISTAN."," 203,184,264.23 "
"THAL LTD. B.L.D THAL LTD B.L.D 4TH  FLOOR HOUSE OF HABIB,PLOT- 3, BLOCK 7/8,J SHAHRAH-E-FAISAL, KARACHI"," 9,118,837.49 "
8," 559,163,838.18 "
"AYAN CROP SCIENCES H-NO370,BLOCK-3C-1, TOWNSHIP LAHORE    03227672222"," 142,425,952.24 "
AYAN CROP SCIENCES 100 BLOCK-A REVENUE SOCIETY JOHAR TOWN LAHORE  04235400236," 75,260,573.40 "
M/S WORTH AGRO CHEMICALS RIZWAN SHAUKAT S/O SHAUKAT ALI OFFICE YOUNIS BROTHERS INDUSTRIES LAHORE ROAD GAGGOO," 52,760,807.64 "
"RAS INTERNATIONAL CORPORATION 10 SAM CANAL VILLAS OPP EDEN CANAL BANK ROAD LAHORE, PAKISTAN "," 51,655,887.36 "
"EXIN CHEMICALS CORPORATION 33-B, INDUSTRIAL ESTATE, MULTAN "," 37,975,913.63 "
AGRI TOP 77 INDUSTRIAL ESTATE MULTAN MULTAN," 36,531,341.23 "
PAK FARMING CARE OLD INDUSTRIAL ESTATE ROAD HAMID PUR KANORAH MULTAN," 35,408,601.36 "
"HAID CROP SCIENCES., 12 AL-JANNAT HOMES, SULTANABAD COLONY, GULGASHT, MULTAN, PAKISTAN."," 34,716,781.44 "
"EXIN CHEMICALS CORPORATION 33-B INDUSTRIAL ESTATE MULTAN, PAKISTAN "," 33,123,696.27 "
"FIVE STAR FERTILIZERS HOUSE NO 308 BLOCK J - 01 JOHAR TOWN LAHORE, PAKISTAN"," 21,361,105.63 "
AMBROSHIA CHEMICALS QUETTA ROAD DERA GHAZI KHAN ," 13,987,340.93 "
AGRI INTERNATIONAL 77- INDUSTRIAL ESTATE MULTAN.PAKISTAN ," 13,148,771.33 "
"FIVE STAR AGRO CHEMICAL AND FERTILIZERS HOUSE NO. 308 BLOCK J-1, JOHAR TOWN LAHORE PAKISTAN"," 9,391,979.52 "
4F CHEMICALS 812-NASHEMAN-E-IQBAL COOPERATIVE HOUSING SOCIETY KAAYABAN-E-JINNAH ROAD LAHORE," 1,415,086.20 "
64," 558,535,981.16 "
DIAMOND EXPORT INDUSTRIES PVT LTD KHURRIANWALA ROAD FAISLABAD PAKISTAN ," 319,985,849.11 "
DIAMOND FABRICS CHAK NO 77 RB KHURRIANWALA JARANWALA ROAD FAISALABAD," 141,665,164.17 "
LEGACY TEXTILES P 53 ST NO  03 INDUSTRIAL STREET 243 RB PHATTA STOP SAMUNDRI ROAD FAISALABAD," 96,884,967.88 "
7," 467,331,834.44 "
"BRITER ELECTROPLATING CO PVT LTD SHOP NO.12, 7-CIRCULAR ROAD, MALWADA COMPLEX, OPP.YAKI GATE, LAHORE, PAKISTAN."," 168,581,993.60 "
"DYNAMIC PACKAGING PVT LTD 22-KM,OFF FEROZEPUR ROAD SHAMI STREET RAJ IND PARK"," 79,287,630.37 "
DIC PAKISTAN LTD SHAHRAH E ROOMI P O AMER SIDHU PAKISTAN," 66,773,314.83 "
"BRITER ENGINEERING COMPANY PVT LTD. 24-MAIN INDUSTRIAL ESTATE KOT LAKHPAT, LAHORE, PAKISTAN. "," 44,493,906.54 "
BATA PAKISTAN LTD   ," 25,731,745.44 "
"GLOBAL INKS AND CHEMICALS (PVT) LTD 22 - KM OFF FEROZEPUR ROAD, RAJ INDUSTRIAL, SHAMI STREET, LAHORE - PAKISTAN."," 18,674,401.70 "
SERVICE INDUSTRIES  LIMITED SERVICE HOUSE 2- MAIN GULBERG PK," 13,289,071.37 "
"OMAR JIBRAN ENGG. IND.LTD DSU-10, PAKISTAN STEEL DOWNSTREAM IND.ESTAT BIN QASIM KARACHI"," 11,040,292.89 "
"NIMIR RESINS LIMITED 12-B NEW MUSLIM TOWN LAHORE, PAKISTAN "," 7,567,881.00 "
"M N IMPEX IMPORTER OF DYES CHEMICALS AND INTERMEDIATE 1ST FLOOR, ROOM 14, KHAN ARCADE 16"," 6,289,272.00 "
F E CHEMICALS   ," 5,563,385.19 "
"KB AND COMPANY OFFICE NO.8-A,S-5, NASEER STREET MALIK PARK BILAL GUNJ LAHORE-5400 PAKISTAN "," 5,191,269.93 "
"RAZZAQIA INTERNATIONAL P-27 JINNAH BLOCK, KHYABAN -2 FAISALABAD-PAKISTAN "," 4,946,250.38 "
"CAPTAIN & COMPANY SHAFI COURT,1ST FLOOR, OPPOSITE CENTRAL HOTAL, MEREWETHER ROAD,KARACHI."," 3,934,694.35 "
"SHERAZ ENTERPRISES 39-SITARA MARKET, SATIANA ROAD FAISALABAD "," 3,730,062.40 "
SHEHARYAR ENTERPRISES HOUSE NO 275-A STREET NO 6 CHAK NO 199 RB GHATT WALA FAISLABAD," 1,142,655.90 "
ARCHROMA PAKISTAN LTD SCB BLDG. PLOT 1-A/1 SECTOR-20 KORANGI INDUSTRIAL AREA KARACHI-74900/ PAKISTAN.," 1,094,006.55 "
53," 459,630,093.14 "
"SAMMAR INDUSTRIES PVT LTD PLOT NO 153, 154-S NEW INDUSTRIAL AREA MIRPUR (AJ&K) PAKISTAN"," 459,630,093.14 "
33," 440,387,089.50 "
NADEEM ENTERPRICE A/3 ALI BHAI ADAMJEE SHEIKH JEEYANJEE BLDG PAN MANDI KARACHI," 178,804,212.56 "
WAQAS INTERNATIONAL SHOP NO.6 BURHANI MANZIL PANMANDI NANAKWARA KARACHI PAKISTAN. ," 125,234,761.84 "
"QADRI ENTERPRISES SHOP NO. 205 QILA LECHMAN SINGH LAHORE, PAKISTAN "," 54,399,267.77 "
"ALI ENTERPRISES SHOP NO 2807 PAN MANDI NEAR NOORI MASJID OPPOSITE RAILWAY STATION LAHORE, PAKISTAN"," 40,307,210.52 "
"IBRAHIM TRADING CO. HOUSE NO. 09 STREET NO. 65, DIL MUHAMMAD ROAD, LAHORE, PAKISTAN."," 29,724,357.35 "
ABU SUFIAN IMPEX A-1 MAKHANJI BUILDING NANAKWARA MANDI NEAR HBL NANAKWARA BRANCH  KARACHI," 11,917,279.46 "
52," 410,976,058.48 "
JAFIR INTERNATIONAL JAFIR INTERNATIONAL OFFICE NO 91 NEAR PURANA BALOCH ADDA CHOUBARA ROAD LAYYAH 03086694377," 177,763,731.17 "
GREEN GOLD AGRI SEEDS 16-DIGLOT ROAD FAISALABAD PAKISTAN ," 148,346,882.54 "
HOPE SEEDS COMPANY UNITEN FARM ROAD GULSHAN -E -ALI BY PASS SAHIWAL PAKISTAN.," 41,356,470.71 "
"ARCO SEEDS. BAZAR ALMARIAN GUJRANWALA, PAKISTAN."," 24,579,523.19 "
"GREEN GOLD AGRI SEEDS 16-DIJKOT ROAD, FAISALABAD-PAKISTAN. "," 15,557,772.15 "
"AUGUSTA SEED COMPANY UNITED FARMS ROAD, GULSHAN E ALI , BY PASS SAHIWAL SAHIWAL"," 2,310,364.07 "
"GOREJA AGRO IMPEX SHOP NO P 13 DIJKOT ROAD GRAIN MKT FAISALABAD, PAKISTAN "," 1,061,314.65 "
31," 379,792,293.44 "
"MUSA ENTERPRISES., 42 - KOH-E-NOOR COLONY, SURAJ KUND ROAD, CHOWK SHAH ABBAS,  MULTAN, PAKISTAN."," 109,002,727.32 "
"PREMIUM ENTERPRISES., PLOT: LY-234 AND 23K, QAZI ABDUL AZIZ ROAD, MOOSA LANE, KARACHI,"," 65,021,638.57 "
MUSA ENTERPRISES 42 KOH -E- NOOR COLONY SURAJ KUND ROAD CHOWK SHAH ABBAS MULTAN," 57,138,036.13 "
"ZANCTOK PHARMACEUTICAL LABORATORIES F/5 S.I.T.E. AREA HYDERABAD, PAKISTAN "," 43,566,835.36 "
"ALKEMY PHARMACEUTICAL LABORATORIES (PVT) LIMITED., 203, AL-AMIN TOWER, BLOCK-10, GULSHAN-E-IQBAL, KARACHI, PAKISTAN."," 36,279,665.54 "
WELLNESS PHARMACEUTICALS PVT. LTD. 15TH FLOOR AL TIJARAH CENTER SHARAI E-FAISAL KARACHI. ," 18,501,990.01 "
UNI TIECH PHARMACUETICAL PVT LTD 45/H-1 BLOCK 6 PECHS KARACHI ," 18,466,874.91 "
"SHAHI ENTERPRISES (PVT.) LIMITED., M-2, KHADIJA ARCADE, 8-MANYA SOCIETY, KHALID BIN WALEED ROAD, KARACHI, PAKISTAN."," 10,723,208.76 "
"ALKEMY PHARMACEUTICAL LABORATORIES (PRIVATE) LIMITED., 9 S.I.T.E., HYDERABAD, PAKISTAN. "," 7,230,985.66 "
"FRONTIER DEXTROSE LIMITED PLOT NO 18/3 PHASE 1, IND EST, 74000 HATTAR-HARIPUR PAKISTAN."," 5,367,369.55 "
"AL KARIM CORPORATION 6-AI COMMERCIAL MARKET GECHS PECO ROAD, TOWNSHIP LAHORE, PAKISTAN. "," 3,941,277.12 "
"MEDIPAK LIMITED 132 1 INDUSTRIAL ESTATE KOTLAKHPAT LAHORE, PAKISTAN"," 2,027,904.48 "
"HEALTH CARE PRODUCTS ZIA PLAZA, 1ST FLOOR ALTAF HUSSAIN ROAD PK"," 1,153,033.20 "
"MITCHELL'S FRUIT FARMS LTD., 40-A, ZAFAR ALI ROAD GULBERG-5 LAHORE, PAKISTAN. "," 618,654.72 "
"HONIG PHARMACEUTICAL LABORATORIES HOUSE NO 687, STREET NO 3-A, NEAR NADRA OFFICE, CH. WALAYAT KHAN ROAD, CHAKLALA SCHEME III,RWP."," 385,217.91 "
"JANGNON PHARMA MACHINERY OFFICE NO 4 BLOCK 16, 1ST FLOOR MAIN CHAMBEER 3TEMPLE ROAD, LAHORE PAKISTAN."," 366,874.20 "
13," 369,709,353.89 "
"ATLAS BATTERY LTD. D-181, CENTRAL AVENUE, S.I.T.E. KARACHI-75730 PAKISTAN. "," 331,853,977.90 "
"ATLAS AUTOS (PRIVATE) LIMITED, F-36, ESTATE AVENUE, S.I.T.E, KARACHI, PAKISTAN "," 25,786,156.71 "
"ATLAS ENGINEERING LTD 15TH MILE, NATIONAL HIGHWAY, LANDHI, KARACHI PAKISTAN"," 12,069,219.28 "
11," 363,567,269.33 "
NATIONAL FEEDS LIMITED 171-SHADMAN-II LAHORE PAKISTAN," 215,513,959.51 "
"PUNJNAD FEEDS LIMITED 171-SHADMAN-II LAHORE, PAKISTAN "," 62,736,536.42 "
PUNJAB FEEDS LTD 23 DAVIS ROAD LAHORE PK," 24,767,331.33 "
RAWAL POULTRY FEEDS (PVT) LTD OFF  16 FIRST FLOOR KALA KHAN SHOPPING CENTRE SHAMSABAD MURREE ROAD RWP," 24,254,577.46 "
A. ONE. FEEDS PLOT NO  G 5  SITE HYDERABAD 880931," 18,734,693.08 "
SONA FEEDS PLOT NO P-6 S.I.T.E NEAR NARA JAIL HYDERABAD," 11,019,328.65 "
A ONE FEEDS   ," 6,540,842.88 "
39," 333,714,930.59 "
MIAN SHAHID CORPORATION H NO 33/12 TARIQ ROAD SIALKOT CANTT SIALKOT 0523255089 ," 70,702,735.89 "
"DAWOOD SONS INDUSTRIES STREET NO 1 ABADI MEHAR LAL HUSSAIN HAFIZABAD ROAD GUJRANWALA, PAKISTAN"," 59,910,730.87 "
"EUROMED INDUSTRIES PLOT NO. 56-A SMALL INDUSTRIES ESTATE, SIALKOT-51340 PAKISTAN."," 41,582,564.79 "
"TINOPAL SURGICAL CORP.(PVT)LTD 55 AND 57B S.I.E, SIALKOT, PAKISTAN. "," 26,665,672.61 "
BURAQ SURGICAL CORPORATIPN BURAQ SURGICAL CORP 59-C NEAR UBL BANK SIE SIALKOT," 25,901,018.72 "
FARM PLANT ABBAS AHMAD HOUSE NO K-137 GULISTAN COLONY NO 1 FAISALABAD," 25,162,329.06 "
ZAIN S MEDICAL IMAGE 5 KILOMETERS WAZIRABAD ROAD PAKISTAN ," 21,226,293.00 "
WASHINGTON SURGICAL INTERNATIONAL RORAS ROAD OOP GOHAR BUILDING MATERIAL SIALKOT ," 14,632,817.30 "
M.J INSTRUMENTS CO (PVT) LTD PLOT NO 80/C 82/C S I E SIALKOT PAKISTAN ," 9,357,295.23 "
"WAQAS TRADING COMPANY SHOP NO.15, KAREEM STEEL MARKET, REGCENT CINEMA ROAD, GUJRANWALA"," 8,066,499.73 "
"AL SAJR CORPORATION PVT LTD 2/3 PATIALA COMPLEX,  PATIALA GROUND, 2 LINK MCLEOD ROAD LAHORE, PAKISTAN"," 7,888,796.35 "
FRANKO SHEHZAD SURGICO(PVT)LTD FRANKO SHEHZAD SURGICO(PVT) LTD C/O M ISLAM PLOT NO 62-C SIE SIALKOT," 7,682,969.44 "
SKY OVERSEASE SKY OVERSEASE SHOP NO.02 REHMAN GAL I NO.02 AL SYED MARKEET 2ND FLOOR BRANDRETH ROAD LAHORE.03360066000," 6,326,378.70 "
"FARM PLANT P-38,RAVI MARKET SUSAN ROAD MADINA TOWN"," 3,024,091.62 "
QUTBIS FLAT NO.8 MALA BLDG. NAJMUDDIN STREET ADJACENT TO MARFANI DAWAKHANA," 2,839,396.67 "
UMER ENGINEERING COMPANY PLOT NO 1 6 A/1 MAIN SHAHRA E FAISAL BLOCK 6  PECHS KARACHI," 1,618,774.76 "
USMAN LAKH MERCHANT REHMAN GALI NO. 02 AL SYED MARKET BRANDRETH ROAD LAHORE.0321-9427643 ," 1,126,565.85 "
17," 322,495,524.45 "
MUJAHID OIL REFINERY PVT LTD PLOT NO 191 192 SECTOR I 9 INDUSTRIAL AREA ISLAMABAD," 233,987,123.70 "
TAJ VEGETABLE OIL PLOT 191-192 I-9 INDUSTRIAL AREA ISLAMABAD," 88,508,400.75 "
29," 293,507,062.31 "
"MEGA CORPORATION HARI LAL DASJI STREET OPP. AURANGZEB MARKET, M.A. JINNAH ROAD KARACHI, PAKSITAN."," 131,850,234.30 "
OMEGA INDUSTRIES 60-A FCC CH. ZAHOOR ELAHI ROAD GULBERG IV LAHORE," 94,636,603.44 "
"FINE AUTO WORKS 11-5-16, SHAFIQ ABAD BUND ROAD LAHORE"," 67,020,224.57 "
36," 231,668,411.60 "
GULFRAZ FABRICS 11-KM JARANWALA ROAD NEAR MSC CHOWK FAISALABAD PAKISTAN," 107,558,075.20 "
"SADAQAT LIMITED SADAQAT LIMITED SAHIANWALA ROAD, KHURRIANWALA, FAISALABAD."," 82,908,069.25 "
TANVEER COTTON MILLS PVT LTD 98/A B-III  GULBERG III LAHORE 042-35772950-3," 15,158,748.58 "
"TANVEER SPINNING & WEAVING MILLS (P 11 TO 14, FIRST FLOOR, CANTT PLAZA, TUFAIL ROAD LAHORE PAKISTAN "," 8,037,064.51 "
MASOOD SPINNING MILLS LTD.   ," 6,104,253.53 "
ROOMI FABRICS LTD MEHR MANZIL OUT SIDE LOHARI GATE PK," 5,483,386.19 "
MAHMOOD TEXTILE MILLS LIMITED   ," 5,321,654.15 "
MASOOD FABRIC LTD. MEHR MANZIL LOHARI GATE PK," 1,097,160.19 "
15," 198,843,405.46 "
"KADER AND SONS A-6 AL AMIN PLAZA SYEDNA TAHIR SAIFUDDIN ROAD PAN MANDI NANAKWARA, KARACHI - PAKISTAN"," 107,075,379.89 "
S.M.YOUSUF & BROTHERS SHOP NO 24 DARWAISH ISLAMIC TRUST BLOCK -B S.M.C.H.S KARACHI," 68,346,776.65 "
"FILZA ENTERPRISES 142/A, BERRY WALI STREET, TEHSIL BAZAR, RANG MAHAL, LAHORE"," 23,421,248.92 "
2," 181,572,962.90 "
FAISAL BROTHERS FAISAL BROTHERS HOUSE NO 2-C ALHAMRA TOWN EAST CANAL ROAD NEAR BECON HOUSE SCHOOL FAISALABAD.," 79,860,337.28 "
"AL RAHEEM IMPEX OFFICE NO 7 ,II FLOOR,SADIQ  PALAZA CIRCULAR ROAD FAISALABAD "," 53,739,208.71 "
INDUS PENCIL INDUSTRIES  PVT  LTD. B-54  S.I.T.E. MANGHOPIR ROAD 75700 KARACHI," 13,318,920.23 "
"AMEN BANJ CORPORATION 1ST FLOOR, 2-C BUSINESS CENTER, EAST CANAL ROAD FAISALABAD"," 7,887,795.30 "
FAIR CHEM INTERNATIONAL 25-SHAHEED E MILLAT MARKET MILLAT CHOWK GULISTAN COLONY NO 02 MILLAT ROAD FAISLABAD," 7,408,238.31 "
"SHAHSONS (PRIVATE) LIMITED D-88,MANGHOPIR ROAD, S.I.T.E, KARACHI, PAKISTAN. "," 6,545,643.69 "
NOBEL TECHNO CHEM HASHIMPURA DEFENCE ROAD NEAR MUSLIM ACADMEY TEHSIL & DISTT SIALKOT," 5,534,559.36 "
FAIR CHEM INTERNATIONAL H NO 391 BLOCK NO G GULISTAN COLONY FAISALABAD ," 3,962,241.36 "
CHAUDHARY CHEMICAL TRADERS P-553 STREET NO.3 NEAR TOOL TEX SATYANA ROAD FAISALABAD 0300-9651273," 2,775,141.27 "
AL QAEM DYES & CHEMICALS VILL FATEH WALI P/O TALWANDI BHINDR A TEH PASRUR DISTRICT SIALKOT ," 540,877.39 "
3," 178,778,577.54 "
"SAPPHIRE TEXTILE MILLS LIMITED 7A/K, MAIN BOULEVARD, GULBERG II, LAHORE, PAKISTAN. "," 176,823,871.80 "
"SAPPHIRE TEXTILE MILLS LIMITED., 7A/K, MAIN BOULEVARD, GULBERG II, LAHORE, PAKISTAN. "," 1,954,705.74 "
51," 178,586,539.68 "
ASIAN FOOD INDUSTRIES LIMITED ASIAN FOOD INDUSTRIES LTD 46 49 INDUSTRIAL ZONE GURUMANGAT GULBERG III LAHORE," 75,230,134.18 "
"M S KULSUM HAJI IBRAHIM JM 4/744, BAHADUR YAR JANG ROAD, KARACHI-74800, PAKISTAN "," 46,644,396.28 "
B.P. INDUSTRIES (PVT) LTD. A - 30 S.I.T.E. KARACHI - PAKISTAN. ," 38,220,355.63 "
"INTERNATIONAL TRADING AGENCY SHOP NO. 1, SAIFUDDIN MANZIL, DR. ZIAUDDIN AHMED ROAD, KARACHI PAKISTAN"," 7,669,259.87 "
"S. NAJMUDDIN AHMED AND CO. SUIT NO.408,4TH FLOOR,TRADE AVENUE, HASRAT MOHANI ROAD,OFF. I.I. CHUNDRIGAR ROAD KARACHI-PAKISTAN."," 5,935,772.98 "
"RASUL FLOUR MILLS (PVT) LIMITED., 3RD FLOOR, SULEMAN CENTRE, NEAR BROOKES CHOWRANGI, KORANIG INDUSTRIAL AREA, KARACHI, PAKISTAN."," 4,886,620.74 "
24," 166,520,656.65 "
CLASSIC INTERNATIONAL TRADING HOUSE NO 39 BLOCK D 2 WAPDA TOWN LAHORE PAKISTAN ," 74,903,730.66 "
NORSON CHEMICAL INDUSTRIES 112 9 INDUSTRIEL AREA KOTLAKHPAT LAHORE 042-35113856  042-35113861," 51,569,918.30 "
KHAN ENTERPRISES 246 TUGHLUQ TOWN BEHIND GENERAL BUS STAND MULTAN," 38,454,134.15 "
"MPI(PVT) LTD 237 SUNDER INDUSTRIAL ESTATE, RAIWIND ROAD, LAHORE, PAKISTAN "," 1,592,873.54 "
26," 151,498,860.21 "
MAQSOOD BROTHERS 48 CIRCULAR ROAD REVALI CENIMA TYRES MARKET LAHORE 0300 8472489 042 37667446," 129,037,580.60 "
MAQSOOD  BROTHERS 48 CIRCULAR ROAD REVALI CENIMA TYRE MARKET LHR PK," 17,881,029.23 "
"ASHRAF AND COMPANY SHOP NO.16 CIRCULAR ROAD, NEAR DOO MORIA PULL, TYRE MARKET, LAHORE, PAKISTAN"," 4,580,250.38 "
49," 98,431,409.67 "
R S INTERNATIONAL P 47 ST NO 2 BLOCK NO 1 SAMANABAD FAISALABAD," 44,896,614.91 "
KARSS PAINT INDUSTRIES (PVT) LTD WEST CANAL ROAD FAISALABAD PAKISTAN," 27,522,902.46 "
M.A IMPEX 141-142-A IST FLOOR SHOAIB BIBIL MARKET FAISALABAD," 13,269,100.82 "
GMSA INDUSTRIES PVT LTD 141 142 A 1ST FLOOR SHOAIB BILAL MARKET FAISALABAD," 10,783,892.90 "
IRFAN TRADERS 4-TOWER ROAD MUHALLAH MUSTAFA ABAD KHILI BYE PASS GUJRANWALA PH.213224-213550-213550," 1,958,898.58 "
28," 80,813,295.12 "
ASH HUB ENTERPRISES SHOP NO 16 MUHAMMAD ARCADE MULTAN.PAKISTAN ," 32,041,140.64 "
"MS FINE HOUSE FINE HOUSE, CIRCULAR ROAD MOHALLAH DHAROWAL, SIALKOT SIALKOT 03216144114"," 29,168,911.90 "
ZUBAIR SONS 200 FEROZPUR ROAD LAHORE LAHORE," 6,229,154.94 "
ALI HUSSNAIN ENTERPRISES S/O GHULAM NABI CAMPING GROUND LALAMUSA TEH. KHARIAN DIST GUJRAT," 5,052,635.50 "
"ABDULLAH RIAZ TRADERS 136-A, BLOCK A2, PGECHS COLLEGE ROAD, TOWNSHIP, LAHORE PAKISTAN."," 4,942,990.44 "
"N.A.MUKHTAR & CO N.A.MUKHTAR & CO, Z-524,DARUL AMAN SOCIETY,MAIN STADIUM ROAD,CHANDNI CHOWK,KARACHI."," 3,378,461.70 "
20," 75,122,471.45 "
PAK PANSY(PVT)LTD 6-B INDUSTRIAL ESTATE MULTAN ," 43,665,367.28 "
NEW AGRI CARE 15 JAIL ABAD COLONY NEAR AL BADAR MASJID MULTAN ," 16,413,165.55 "
AGRINCHEM ENTERPRISES H NO 1334 KASHMIR STREET NASHEMAN COLONY BOSAN ROAD MULTAN," 15,043,938.62 "
10," 70,895,138.33 "
"PROFESSIONAL HEIGHTS 25-E/2, PHASE 1, WAPDA TOWN LAHORE 54000 ISLAMIC REPUBLICTION OF PAKISTAN"," 36,667,898.10 "
"POPULAR JUICE IND. (PVT) LTD. 311,CHAPAL PLAZA, HASRAT MOHANI ROAD, OFF, I I CHUNDRIGAR ROAD. KARACHI."," 26,051,186.63 "
ARSALAN TRADERS   ," 8,018,821.80 "
"ROOMI ENTERPRISES (PVT) LTD PLOT # 16, SECTOR-23 KORANGI INDUSTRIAL AREA. KARACHI"," 157,231.80 "
66," 62,719,594.18 "
"MIKDAR WOOD PRODUCTS PVT LTD LR6/7, KAKA STREET OFF NISHTER ROAD KARACHI "," 35,527,655.18 "
MIKDAR TRADERS PLOT NO LR 6/7 KAKA STREET OFF NISHTER ROAD KARACHI ," 27,191,939.00 "
56," 61,719,096.76 "
"JAFFER BROTHERS PVT LTD CITI TOWER 33-A BLOCK 6, P.E.C.H.S SHAHRAH-E-FAISAL KARACHI,PAKISTAN"," 37,456,468.00 "
"JAFFER BROTHERS (PVT.) LTD. CITI TOWER 33 - A, BLOCK-6, P.E.C.H.S. SHAHRAH-E-FAISAL PK"," 24,262,628.76 "
46," 57,195,065.14 "
M S SUBHAN BROTHERS.   ," 57,195,065.14 "
32," 52,963,750.91 "
CRIZAL ENTERPRISES STREET OLD PETROL PUMP MOHALLAH HAJI PURA SIALKOT ," 22,010,575.71 "
M/S SHEIKH ENTERPRISES ZAFAR COTTAGE CHOWH GAO SHALA TUBE WELL MOHALLAH ZAFARABAD SIALKOT 03008619220," 10,581,201.19 "
IZZAH TRADERS ABBOT ROAD OPP.EXPRESS LINK COURIER SIALKOT  03007101094 SIALKOT," 10,396,526.15 "
ARD INDUSTRIES P-35 NEAR GULZAR CINEMA SAMUNDRI ROAD GOJRA DISTT. TOBA TEK SINGH PAKISTAN," 5,117,790.27 "
ASAMA ENTERPRISES P-35 NEAR GULZAR CINEMA SAMUNDRI ROAD GOJRA," 4,857,657.59 "
34," 52,620,242.40 "
"ALLIANCE ENERGY. HOUSE NO. 64-A, ST NO.01, G.E.C.H.S LINK ROAD, MODEL TOWN, LAHORE. PAKISTAN."," 52,620,242.40 "
23," 49,997,125.39 "
"CANNON FOAM 43, TARIQ BLOCK, NEW GARDEN TOWN, LAHORE, PAKISTAN"," 21,200,397.96 "
"SHAHZ TRADERS 532-KASHMIR BLOCK, ALLAMA IQBAL TOWN LAHORE, "," 16,337,098.89 "
"ISLAM LUBRICANTS PVT LTD CHOWK ALI PUR NEAR VILLAGE GONDLANWALA, GUJRANWALA PAKISTAN."," 9,461,742.22 "
"M/S PAKISTAN FOAM (PRIVATE) LIMITED OFFICE NO.404, 4TH FLOOR, REGANCY PLAZA, 120-P M.M. ALAM ROAD, GULBERG II, LAHORE, PAKISTAN."," 2,997,886.32 "
69," 42,216,345.42 "
METRO-HABIB CASH &CARRY PAK PVT LTD THOKAR NIAZ BAIG MULTAN ROAD LAHORE," 34,667,814.83 "
"MCR (PVT) LTD FRANCHISEE OF PIZZA HUT, 7TH FLOOR SHAHNAZ ARCADE, SHAHEED-E-MILLAT ROAD, KARACHI, PAKISTAN"," 7,548,530.59 "
59," 35,838,254.01 "
"ARROWS MARKETING SERVICES 4A-11/2,FIRST FLOOR,NAZIMABAD NO.4 KARACHI-74600 PAKISTAN "," 30,742,018.13 "
BANGA HARDWARE/PAINT STORES BANGA HARDWARE & PAINT STORES SHOP 02 DARUGA WALA BLDG MOHAMMAD SHAH STREET NANAK WADA KARACHI," 5,096,235.88 "
63," 34,685,816.54 "
"AMRELI STEEL LIMITED SALES & MARKETING OFFICE A/18-A, S.I.T.E KARACHI"," 29,750,332.22 "
KSB PUMPS COMPANY LTD 16 2 SIR AGHA KHAN ROAD SIR AGHA KHAN ROAD LAHORE," 4,717,805.07 "
MULTIDIMNSL INNOVT SYSNTECH PVT LTD   ," 217,679.25 "
14," 26,703,199.66 "
SARWAR ENTERPRISES BALOUCH HOTEL NEAR SHELL PETROL PUMP VEHARI ROAD BASTI KHAWAJA QADRI NAWAZ MULTAN," 21,105,286.36 "
H S ENTERPRISES CHAK no 102 W B P O GARHAMOR TEHSIL MAILSI DISTT VEHARI VEHARI," 2,996,041.47 "
M/S DOGAR IMPEX DOGAR IMPEX MUJAHID ROAD SIALKOT 03008612030 ," 2,601,871.83 "
40," 24,925,506.52 "
"UMAR SPINNING MILLS PVT LIMITED 101, COMMERCE CENTRE, HASRAT MOHANI ROAD, KARACHI, PAKISTAN"," 24,925,506.52 "
54," 23,446,266.58 "
"AREEBA TRADERS, SHOP NO.9, STAR HEIGHT, UNIT NO.07, LATIFABAD, HYDERABAD, PAKISTAN. "," 9,727,654.72 "
"HAIDARY GLASS HOUSE 1 - COOPER ROAD, LAHORE - PAKISTAN. "," 8,182,874.31 "
GOOD LUCK GLASS HOUSE SHOP NO.6 SABINA CENTER BOHRAPIR KARACHI," 4,482,395.60 "
AHMAD GLASS INDUSTRIES PVT LTD HOUSE # 26/1 RACE COURSE ROAD LAHORE PK," 1,053,341.95 "
57," 21,593,167.20 "
SHOAIB USMAN TEXTILE IND PVT LTD   ," 21,593,167.20 "
41," 16,146,657.65 "
"CHEMIUM INNOVATIONS A-2 BAITUL FURQAN SB-12, BLOCK 13 C, GULSHAN-E-IQBAL, KARACHI PAKISTAN."," 11,995,738.13 "
"TOTAL CARE PESTICIDES., 214-215, 2ND FLOOR, MALL PLAZA, MULTAN CANTT., MULTAN, PAKISTAN. "," 4,150,919.52 "
25," 16,137,972.17 "
