Row Labels,Sum of Amount
"PHYTOCON INTERNATIONAL (PVT) LTD SUIT NO 4, 4TH FLOOR ABRAR BUSINESS CENTER 25, MAIN WAHDAT ROAD LAHORE-PAKISTAN"," 2,044,013.40 "
DG SBS  FOREIGN PURCHASE SCHOOL OF BIOLIOGICAL SCIENCES P U NEW CAMPUS LAHORE 9230960," 573,896.07 "
48," 2,522,340,899.40 "
19," 2,090,434,386.59 "
DAI ICHI LIGHTING OFFICE  23  1ST FLOOR  ARKAY SQUARE EXTENSION  SHAHRAH E LIAQUAT NEW CHALLI  KARACHI     03002110019," 650,734,506.36 "
"PAKISTAN HERALD PUBLICATIONS (PRIVATE) LIMITED HAROON HOUSE, DR.ZIAUDDIN AHMED ROAD, KARACHI, PAKISTAN"," 504,026,274.86 "
"PAK PAP (PVT.) LTD., 1, ISMAIL CENTRE, TAYYABJEE ROAD, OFF:SHAHRAH-E-LIAQUAT, KARACHI, PAKISTAN."," 303,663,252.25 "
"DAILY PAKISTAN., 41 - JAIL ROAD, P.O. BOX 2000, LAHORE, PAKISTAN. "," 193,237,047.86 "
VARIETY PAPERS. PAPER AND BOARD MERCHANT SHAHRAH-E-  ," 162,148,563.06 "
"POPULAR FOOD INDUSTRIES LTD 311-CHAPAL PLAZA, HASRAT MOHANI ROAD, I I CHUNDRIGAR ROAD. KARACHI."," 161,531,978.62 "
TABISH IMPEX OFFICE NO 23 1ST FLOOR RK SQUARE EXT SHARAH E LIAQAT NEW CHALLI KARACHI," 47,943,644.57 "
BODY MEDIA INTL PVT LTD 22 W DHA LAHORE CANTT LAHORE," 14,265,115.01 "
LE TOPICAL PVT LTD LE TOPICAL PVT LTD PLOT NO 17-18 ST#2 ATTARI INDUSTRIAL ESTATE 18 KM FEROZ PUR ROAD LAHORE 04235923583," 12,323,415.49 "
"ASHRAF MATCH INDUSTRIES PVT LTD 1st FLOOR NASIRPUR PLAZA, RETI GATE PESHAWAR "," 11,123,730.57 "
"POPULAR SPINNING MILLS (PVT) LTD., 311, CHAPAL PLAZA, HASRAT MOHANI ROAD, KARACHI, PAKISTAN."," 10,367,857.56 "
POPULAR MATCH INDUSTRIES 311 CHAPAL PLAZA HASRAT MOHANI ROAD OFF I.I CHUNDRIGAR ROAD," 8,984,171.60 "
"LE TOPICAL PLOT NO 17 ATTARI INDUSTRIAL ESTATE 18 KM FEROZE PU ROAD LAHORE, PAKISTAN.RE "," 8,929,447.59 "
LANCER SURGICAL CO LANCER SURGICAL CO. 147 C FATIMA JINNAH ROAD SIE SIALKOT," 1,155,381.19 "
27," 1,430,862,015.42 "
"M/S IQBAL DAAL MILLS SHOP NO.11M GRAIN MARKET, SARGODHA, PAKISTAN "," 163,280,609.01 "
SH TALIB HUSSAIN MATLOOB HUSSAIN BR 33 A NEW GRAIN MARKET MAKHDOOM ROAD FAISALABAD PAKISTAN," 157,886,423.08 "
"INDUS DYEING AND MFG. CO. LTD., OFFICE NO.508, 5TH FLOOR, BEAUMONT PLAZA, BEAUMONT ROAD, CIVIL LINES QUARTERS KARACHI - PAKISTAN."," 156,681,884.88 "
"HARVEST GRAINS TRADING CO. SHOP NO 8, SHAH BUX MARKET,ANAJ MANDI HYDERABAD SINDH.PAKISTAN"," 142,387,778.48 "
"PAK TRADERS REGENCY ARCADE 949, P-122, OPPOSIT P.I.A OFFICE, THE MALL ROAD, FAISALABAD, PAKISTAN."," 135,108,868.57 "
"GADOON TEXTILE MILLS LTD 6-A, MOHAMMAD ALI HOUSING SOCIETY PK"," 122,006,304.50 "
"KANWAL TRADING COMPANY PVT LTD OFF.# 1, 1ST FLOOR PLOT NO.40-C RAHAT COMMERCIAL LANE-3 PHASE VI D.H.A. KARACHI."," 106,462,297.48 "
HAMZA HAFEEZ FOOD INDUSTRIES SUITE # 213 2ND FLOOR PONAWALA TOWER KARACHI ," 78,252,149.47 "
DHIRANI TRADING COMPANY PLOT no MR6 37  MUHAMMAD FEROZ STREET  JORIA BAZAR KARACHI karachi," 69,112,291.14 "
ARUS INTERNATIONAL OPP OFFICE SSP PATROLLING POLICE JAIL ROAD FAISALABAD FSD," 68,123,562.03 "
KANWAL INDUSTRIES PLOT NO F-4 SITE KOTRI SINDH," 41,714,279.98 "
GHAZALI IMPEX H NO 106 F 3 2 XEX SHAMSABAD COLONY EID GHAH ROAD MULTAN," 40,219,693.18 "
HAMZA TRADER SHOP NO. 93/1 NEW GRAIN MARKETE DIJKOT ROAD FAISALABAD," 33,370,038.67 "
"BALAJI COMMODITIES SUITE# 616,6TH FLOOR POONAWALA TRADE TOWER CHABBA GALI DANDIA BAZAR"," 29,200,942.09 "
"KARACHI COMMODITIES FLAT NO 403, STREET NO.02, NAGAR RESIDENCY, BATH ISLAND, CLIFTON KARACHI."," 20,130,937.67 "
"WARAICH FOOD PRODUCTS SHOP NO.54, GRAIN MARKET SARGODHA "," 17,349,166.45 "
"KANWAL TRADING COMPANY PVT LTD. OFF NO. 1, 1ST FL, ;LOT NO.40-C, RAHAT COMMERCIAL LANE, 3, PHASE 6, D.H.A., KARACHI,PAKISTAN"," 14,858,522.50 "
"M/S.RAJ WALI & COMPANY FLAT NO 2,COMMERCIAL BUILDING KATCHERY GATE,ASHRAF ROAD PESHAWAR"," 9,652,647.30 "
RAFI GUL AND SONS RIPAL MANDI PESHAWAR PAKISTAN ," 7,117,359.48 "
"ABDUL HAFEEZ SUITE NO.213, IIND FLOO POONA WALA TRADE TOWER CITY COURT KARACHI"," 6,310,529.74 "
ABU BAKAR ENTERPRISES SHOP 552-553 SAURI STREET NANKARI MARKET RAWALPINDI ," 5,660,344.80 "
ANUMTA FOODS (SMC-PVT) LIMITED GT ROAD NEAR DEGREE COLLEGE HARIPUR HARIPUR PAKISTAN," 4,444,418.88 "
DATA IMPEX DATA IMPEX H-1275 INSIDE AKBARI MANDI LAHORE," 1,530,966.04 "
4," 1,426,917,434.08 "
M S  STANLEY PHARMACEUTICAL  PVT  L 84-B  I.E.JAMRUD ROAD PESHAWAR. opics," 226,891,541.60 "
WILSHIRE LABS PVT LTD WILSHIRE LABS PVT LTD 124/1 INDUSTRIAL ESTATE KOT LAKHPATH LAHORE," 152,022,514.15 "
"ASIAN CONTINENTAL (PVT) LTD., D-133 TIPU SULTAN ROAD, KDA SCHEME NO.1 KARACHI, PAKISTAN."," 127,485,222.68 "
"CCL PHARMACEUTICALS (PVT) LIMITED 65-INDUSTRIAL ESTATE, KOT LAKHPAT LAHORE, PAKISTAN "," 98,552,569.20 "
"JAWA PHARMACEUTICALS (PVT.)  LTD., 112/10, INDUSTRIAL ESTATE TOWNSHIP LAHORE, PAKISTAN "," 93,172,622.64 "
McOLSON RESEARCH LABORATORIES PVT L 194 - B B.O.R SOCIETY MASJID CHOWK JOHAR TOWN LAHORE," 69,985,477.96 "
"BIO-OXIME PHARMACEUTICALS PLOTE NO. 31,32 MILLAT GARMENT CITY, DRY PORT ROAD, FAISALABAD, PAKISTAN."," 56,244,330.56 "
"ZANCTOK PHARMACETICAL LAB. F-15 SITE HYDERABAD, PAKISTAN  "," 55,175,416.38 "
"SANTE (PRIVATE) LIMITED. A-97,S.I.T.E. SUPER HIGHWAY, KARACHI, PAKISTAN. "," 51,628,024.83 "
MASS PHARMA PVT LTD 17-KM FEROZEPUR ROAD LAHORE," 39,837,461.64 "
"BRYON PHARMACEUTICALS (PVT) LTD., 48 - HAYATABAD INDUSTRIAL ESTATE, JAMRUD ROAD, PESHAWAR, PAKISTAN. "," 36,715,338.66 "
"VALOR PHARMACEUTICAL 20,OPPOSITE AYUB NATIONAL PARK JHELUM ROAD RAWALPINDI"," 28,608,850.12 "
