,Amount,Average,Community_ID,Deviation,Drawee,Exporter,Frequency,Linkage
245,3565064.41,1188354.803,2,341397.2987,BTEX INTERNATIONAL LLC,CHAWALA ENTERPRISES,3,0
246,4127914.5,1375971.5,15,672911.2527,MAISONS TEX,HAYTEX INTERNATIONAL,3,0
247,2110313.95,2110313.95,15,,MAISONS TEX,LEGACY TEXTILES,1,0
248,907795.61,302598.5367,10,107871.8876,CAPRICORN ROCKWEAR,ALGODON PRIVATE LIMITED,3,0
249,1789638.55,596546.1833,10,65244.49914,CAPRICORN ROCKWEAR,SHAHAB ENTERPRISES,3,0
250,1229552.68,614776.34,40,153427.9445,MALAYSIA,S.G.MANUFACTURERS,2,0
251,179462.28,89731.14,40,60191.19196,MALAYSIA,WILLS & CO,2,0
252,8242561.61,2747520.537,0,1031544.501,BROLLY SHEETS LTD,MIAN GHOUS BUX PVT.LTD.,3,1
253,304558,304558,0,,BROLLY SHEETS LTD,REHBAR MAJEED TEXTILES PVT LTD,1,0
254,493362695.7,8222711.595,41,754104.1274,MANAMA PACKGING INDUSTRY WLL,DIC PAKISTAN LTD,60,0
255,5683626.59,5683626.59,1,,MANIFATTURE VALLEPIANO DEI,KHIZRA FABRICS,1,1
256,13748078.48,6874039.24,1,5338155.213,MANIFATTURE VALLEPIANO DEI,MUNAWAR TEXTILES,2,0
257,13665858.56,1242350.778,39,838228.0435,BRENTA SRL,AL JAWAD TRADING CORP,11,0
258,543393.1,543393.1,39,,BRENTA SRL,KAYSONS INTERNATIONAL PRIVATE LTD.,1,0
259,901881.6,901881.6,10,,BRAND BQ,COSY INTERNATIONAL PVT LTD,1,1
260,768125.56,768125.56,10,,BRAND BQ,SPRY SPORTS CORPORATION,1,0
261,5500783.87,5500783.87,21,,MARCOS NAHOUM SA,ALLAH TAWAKAL TEXTILE,1,0
262,2319986.66,2319986.66,21,,MARCOS NAHOUM SA,M S NISAR HAMEED TEXTILES PVT LIMIT,1,0
263,2708034.74,2708034.74,4,,BORCH TEXTILE GROUP AS,GUL AHMED TEXTILE MILLS LTD.,1,1
264,2368089.12,394681.52,4,198677.521,BORCH TEXTILE GROUP AS,SHAKEEL TEXTILE INDUSTRIES,6,0
265,565909.95,565909.95,6,,MARTIAL SPORTS AUST PTY LTD,TABO GUGOO IND PVT LTD,1,0
266,41941582.65,13980527.55,5,4582500.813,BOOST NUTRITION CV,M S KHALID RICE MILLS,3,0
267,102200670,51100335,5,0,BOOST NUTRITION CV,NOBEL FOODS PRIVATE LIMITED,2,0
268,223203034.8,10628715.94,35,5419227.248,BOONSIRI FROZEN PRODUCTS CO LTD,AL NOOR INTERNATIONAL,21,0
269,124866598.3,5946028.49,35,2146373.46,BOONSIRI FROZEN PRODUCTS CO LTD,KARIM IMPEX.,21,0
270,1299406.71,1299406.71,10,,BONANZA WHOLESALE LTD,RAZA APPARELS,1,0
271,2947546.56,2947546.56,10,,BONANZA WHOLESALE LTD,SPRY SPORTS CORPORATION,1,0
272,1467496.8,1467496.8,8,,MASHARIE QUZAH TRADING COMPANY,DURRANI ASSOCIATES,1,0
273,4736460.18,4736460.18,8,,MASHARIE QUZAH TRADING COMPANY,Feroze 1888 Mill Limited,1,0
274,4174592.1,1043648.025,1,125900.9429,MASTRO BIANCO S R L,HBR TEXTILE INDUSTRIES,4,0
275,2406195.04,1203097.52,1,129028.2917,MASTRO BIANCO S R L,M S SOUTH ASIAN TEXTILE INDUSTRIES,2,0
276,993338.1,993338.1,14,,MALIK MASOOD GENERAL TRADING L L C,Q & Q FOOD INDUSTRIES PVT LIMITED,1,0
277,450523789,408823.7649,24,558269.1605,BM BATRA ENTERPRISES,BESTWAY CEMENT LTD,1102,0
278,4749448.58,365342.1985,24,52758.10908,BM BATRA ENTERPRISES,PAKCEM LIMITED,13,0
279,430815.13,430815.13,17,,LOGISTIC AND SUPPLY CO,M/S KATCO,1,0
280,3234887.06,1617443.53,17,1504705.68,LOGISTIC AND SUPPLY CO,THE ORGANIC MEAT COMPANY PVT LTD,2,0
281,35743732.57,7148746.514,13,1770793.991,CAVALIERI SPA,SHUJABAD WEAVING MILLS LTD.,5,0
282,12934075.89,4311358.63,13,385260.5029,CAVALIERI SPA,ZEPHYR TEXTILES LTD.,3,1
283,6109180.55,6109180.55,8,,KLOPMAN INTERNATIONAL SRL,M S FAZAL REHMAN FABRICS LTD.,1,0
284,20266122.42,6755374.14,8,1045813.789,KLOPMAN INTERNATIONAL SRL,MASTER TEXTILE MILLS LTD TEXTILEDIV,3,0
285,10621650.12,5310825.06,21,6618198.318,COOP DANMARK AS (FWD DEPT),GOHAR TEXTILE MILLS PVT LTD,2,0
286,5249424.73,1749808.243,21,844004.2941,COOP DANMARK AS (FWD DEPT),KHAWAJA COTTON INDUSTRIES,3,0
287,5436390.11,5436390.11,18,,CONCERIA TIRRENA SPA,DADA ENTERPRISES  PVT  LIMITED,1,0
288,47512017.98,15837339.33,18,3088914.44,CONCERIA TIRRENA SPA,M.S LEATER COORDINATOR,3,0
289,484798.05,484798.05,42,,KOREA,INSTRUMED PVT. LTD.,1,0
290,138259.16,138259.16,42,,KOREA,UKPAK DENTAL,1,0
291,44549.01,44549.01,43,,COMPASS GLOBAL,M A B SHOWROOM,1,0
292,69391.63,69391.63,43,,COMPASS GLOBAL,TNA BROTHERS,1,0
293,6243981.9,891997.4143,11,536092.0182,KOTHARI INDUSTRIES,M  SAJJAD AND  COMPANY,7,1
294,1100622.6,1100622.6,11,,KOTHARI INDUSTRIES,NEW AL SHAHBAZ TRADERS,1,0
295,3604853.48,3604853.48,44,,COMMANDO INDUSTRIES,ASPHODEL INTERNATIONAL,1,0
296,6491820.1,6491820.1,12,,CLASSY FABRICS,BHARARA TEXTILES,1,0
297,2863098.84,1431549.42,12,796855.8427,CLASSY FABRICS,HOUSETEX INDUSTRIES,2,0
298,30684865.44,1278536.06,18,967536.199,LA BELLA HANDELSAGENTUR AND,M S A R YOUSAF,24,0
299,5280996.88,1320249.22,18,874446.0146,LA BELLA HANDELSAGENTUR AND,M.S LEATER COORDINATOR,4,0
300,9412305.4,9412305.4,15,,CIB GARMNENTS (PVT) LTD,LEGACY TEXTILES,1,0
301,14123207.03,7061603.515,15,149276.4994,CIB GARMNENTS (PVT) LTD,THE MASTER FABRICS,2,0
302,8145216.25,8145216.25,15,,CIB GARMENTS (PVT) LTD,LEGACY TEXTILES,1,0
303,104818055.4,104818055.4,15,,CIB GARMENTS (PVT) LTD,i2c PAKISTAN,1,0
304,2984133.45,1492066.725,18,285881.6382,CHR FASHION CORP CO REMCO ATTN: RI,M S A R YOUSAF,2,0
305,38249190,2549946,18,1676159.048,CHR FASHION CORP CO REMCO ATTN: RI,M.S LEATER COORDINATOR,15,0
306,22502386.29,11251193.15,45,6450644.565,LAL AND SONS,M S M DIN.M SHARIF&CO,2,0
307,351098.61,351098.61,45,,LAL AND SONS,M/S SHAHPUR INDUSTRIES,1,0
308,7190948.16,7190948.16,1,,LLC FORTEX AND KO,AL BARKA FABRICS  PVT  LTD,1,1
309,49196516.81,8199419.468,1,1207520.859,LLC FORTEX AND KO,VKY EXPORTS,6,0
310,52224223.68,1088004.66,24,395491.4882,CHOICE ASSOCIATES,BESTWAY CEMENT LTD,48,0
311,10771426.52,979220.5927,24,227052.717,CHOICE ASSOCIATES,PAKCEM LIMITED,11,0
312,4313069.53,4313069.53,21,,LANDI SCHWEIZ AG,AL HADI TEXTILE PVT LTD,1,0
313,17583508.92,8791754.46,21,105674.0537,LANDI SCHWEIZ AG,GRACE APPAREL PVT LTD,2,0
314,3135935.84,3135935.84,1,,CHASE TRADING LLC,AMIL EXPORTS (PVT) LTD,1,1
315,6278003.73,2092667.91,1,79386.20182,CHASE TRADING LLC,Z I S TEXTILES PVT LTD,3,0
316,12338081.03,3084520.258,10,669285.6572,CHARM TEX INC,AMIL EXPORTS (PVT) LTD,4,1
317,32809004.15,4101125.519,10,1195121.384,CHARM TEX INC,SKY INDUSTRIES,8,0
318,15252751.88,1386613.807,21,268351.6648,CHARLES VOEGELE MODE AG,COTTON WEB PVT LTD,11,0
319,36972760.07,12324253.36,21,7129263.471,CHARLES VOEGELE MODE AG,SOORTY ENTERPRISES PRIVATE LIMITED,3,0
320,627483.81,627483.81,1,,LEBANESE TEXTILE CO,ARHAM ENTERPRISES,1,0
321,9560449.2,9560449.2,1,,LEBANESE TEXTILE CO,HUDABIA TEXTILE,1,1
322,4968650.67,4968650.67,8,,LEDER INTERNATIONAL B.V.,Feroze 1888 Mill Limited,1,0
323,3527525.94,3527525.94,8,,LEDER INTERNATIONAL B.V.,M.S LEATER COORDINATOR,1,1
324,41026165.7,3729651.427,18,2337396.22,LEDER INTERNATIONAL BV,M.S LEATER COORDINATOR,11,0
325,7903961.69,1975990.423,18,1095655.158,LEDER INTERNATIONAL BV,SMZ APPAREL PVT LTD,4,0
326,544512.31,544512.31,15,,LEFEBVRE TEXTILE SARL,SADAQAT LIMITED,1,0
327,940589.8,940589.8,15,,LEFEBVRE TEXTILE SARL,SHERCOTEX,1,1
328,833328.54,833328.54,18,,LEKRA RALF KRAPPMANN GMBH,HINT FASHION,1,0
329,5781403.85,2890701.925,18,3064564.748,LEKRA RALF KRAPPMANN GMBH,M.S LEATER COORDINATOR,2,0
330,24653310.53,2465331.053,1,1136791.617,LEYWOOD WARENHUIZEN BV,CHAWALA ENTERPRISES,10,1
331,2650020.48,2650020.48,1,,LEYWOOD WARENHUIZEN BV,HBR TEXTILE INDUSTRIES,1,0
332,17970389.29,5990129.763,6,307364.549,LIBERTY FABRIC CO LTD,BHARARA TEXTILES,3,1
333,1601667.94,1601667.94,6,,LIBERTY FABRIC CO LTD,NEELUM FABRICS,1,0
334,11520831.02,960069.2517,0,242993.8428,LIME CHEMICALS LTD,IMPERIAL MINERALS AND STEEL(PVT)LTD,12,0
335,93759162.98,1065445.034,0,644869.3509,LIME CHEMICALS LTD,IMPERIAL STEEL,88,0
336,441142225.7,6786803.472,1,2984311.492,LINEN LINE TRADING LLC,GULFRAZ FABRICS,65,0
337,1756782.35,1756782.35,6,,CHIBAA GLOVES COMPANY GMBH AND CO KG,SIMON SPORTS IND,1,0
338,47904292.62,2817899.566,21,2681343.637,KLAUS HERDING GMBH,AFROZE TEXTILE INDUSTRIES (PVT.) LT,17,0
339,48414337.55,2104971.198,21,2122450.709,KLAUS HERDING GMBH,GUL AHMED TEXTILE MILLS LTD.,23,0
340,716260047.8,5228175.531,18,4657619.646,MAURITIUS GMBH INTERNATIONAL,M S A R YOUSAF,137,0
341,179640431.1,4381473.929,18,3887908.731,MAURITIUS GMBH INTERNATIONAL,M.S LEATER COORDINATOR,41,0
342,7443883.13,7443883.13,4,,BLANC KER PC HOME AND HOTEL,SUNAIR TEXTILES,1,0
343,7716323.3,3858161.65,4,724828.8712,BLANC KER PC HOME AND HOTEL,ZEPHYR TEXTILES LTD.,2,0
344,8243893.88,4121946.94,2,3239271.622,MOATH SALEM AL ZAHRANI EST AL MAROO,A I TEXTILES,2,0
345,395930.64,395930.64,2,,MOATH SALEM AL ZAHRANI EST AL MAROO,CHAWALA ENTERPRISES,1,0
346,3583333.69,1791666.845,5,125321.7298,MOHAMMED MUSTAFA AND SAMSUDDIN,GOLDEN HARVEST FOOD PVT LTD,2,0
347,9562313.97,3187437.99,5,163240.5784,MOHAMMED MUSTAFA AND SAMSUDDIN,GUARD AGRI AND RESEARCH SERVICES,3,0
348,607617.05,607617.05,0,,MOHINDRA SALES,IMPERIAL STEEL,1,0
349,6538031.58,3269015.79,8,2067566.85,MOOK FABRICS,ZULFIQAR WEAVING & TOWEL,2,0
350,19185869.56,2398233.695,5,2178470.525,MOON WHOLESALE LTD,LEOTEX INTERNATIONAL,8,0
351,1088202.84,1088202.84,5,,MOON WHOLESALE LTD,SIX B FOOD INDUSTRIES PVT LTD,1,0
352,10440483.7,1491497.671,4,1005405.78,B AND D TEXTILE GMBH,M.HASSAN DIN & SONS,7,0
353,1248991.77,1248991.77,4,,B AND D TEXTILE GMBH,MIAN GHOUS BUX PVT.LTD.,1,0
354,16619121.38,2374160.197,0,1443003.752,B 6 AS TRANAASVEJ 33 9300,REHBAR MAJEED TEXTILES PVT LTD,7,0
355,30801128.68,3850141.085,1,469107.2152,AYYAZ BEDDING,ALI TEXTILES,8,0
356,2368959.24,2368959.24,1,,AYYAZ BEDDING,M S SOUTH ASIAN TEXTILE INDUSTRIES,1,0
357,79072346.02,7188395.093,2,665079.5793,MOUNT VERNON MILLS INC,FAISAL SPINING MILLS LTD,11,1
358,30470549.06,10156849.69,2,6935169.899,MOUNT VERNON MILLS INC,THE CRESCENT TEXTILE MILLS LTD,3,0
359,782490.26,782490.26,1,,AYUSH GENERAL TRADING L.L.C,A.K.ENTERPRISES,1,0
360,4050710.45,4050710.45,1,,AYUSH GENERAL TRADING L.L.C,KAMRAN TEXTILES PVT LTD,1,0
361,14704012.43,7352006.215,12,1386336.097,MOUTEVELI K BROS OE,BHARARA TEXTILES,2,0
362,9579668.91,1915933.782,12,539206.1682,MOUTEVELI K BROS OE,CHAWALA ENTERPRISES,5,1
363,2306381.91,2306381.91,2,,MOZIMAX PTY LTD,NISHAT CHUNIAN LTD,1,0
364,644221.66,644221.66,2,,MOZIMAX PTY LTD,SHERCOTEX,1,0
365,1609172.4,1609172.4,46,,AWAN RICE UK,AWAN FOOD INDUSTRIES,1,0
366,3525294.44,1762647.22,46,596331.744,AWAN RICE UK,LAHORE FOOD INDUSTRIES,2,0
367,25052.27,25052.27,47,,BARBARA LEBER,R.M.BRITISH BADGE CO.,1,0
368,52934.71,52934.71,47,,BARBARA LEBER,WIN MASTER INDUSTRIES,1,0
369,867350.84,216837.71,0,35832.5568,MR PIQUET GUILLAUME,RAFIQUE WEARS,4,0
370,35101999.35,17550999.68,5,12239028.89,MUNDI RISO SRL,M S KHALID RICE MILLS,2,0
371,70806720.6,35403360.3,5,21457676.7,MUNDI RISO SRL,NOBEL FOODS PRIVATE LIMITED,2,0
372,41140272.69,2938590.906,16,2493361.241,MUNDIA BV,M S  OPULENT INTERNATIONAL,14,0
373,485899646.4,16755160.22,14,11306621.83,ASIA GLOBAL COMMODITIES DEVELOPMENT,RICE INTERNATIONAL PVT LTD,29,0
374,22502134.72,22502134.72,14,,ASIA GLOBAL COMMODITIES DEVELOPMENT,RICECO INDUSTRIES,1,0
375,7060339.89,7060339.89,37,,MUSTAFA AND KAMAL ASHRAF TRADING,LIBERTY MILLS LTD,1,0
376,2515641.71,2515641.71,37,,MUSTAFA AND KAMAL ASHRAF TRADING,SARENA IND.& EMBROIDERY MILLS PVT,1,0
377,19200545.84,2400068.23,0,1485076.572,ASDA STORE LTD,KLASH PVT LTD,8,0
378,186871170.4,6028102.271,0,3623018.179,ASDA STORE LTD,SADAQAT LIMITED,31,1
379,109894.36,109894.36,6,,ASANUS MEDIZIN,PAKISTAN MACHINE TOOS PVT LTD,1,0
380,15426628.58,7713314.29,1,371166.8973,ARTEK92 29 NEDELCHO,DIAMOND FABRICS,2,0
381,5075927.83,5075927.83,1,,ARTEK92 29 NEDELCHO,ZEPHYR TEXTILES LTD.,1,1
382,7433396.37,7433396.37,4,,ARREDO ITALIA SRL,M.HASSAN DIN & SONS,1,0
383,3029534.16,3029534.16,4,,ARREDO ITALIA SRL,SHERCOTEX,1,1
384,129246983.8,4456792.544,18,2548651.949,ARMA LEDER,HINT FASHION,29,0
385,3983530.31,1327843.437,18,1377443.063,ARMA LEDER,SMZ APPAREL PVT LTD,3,0
386,10887349.33,5443674.665,32,187454.1138,ARABIAN FOOD COMPANY,TETRAPAK PAKISTAN LTD,2,0
387,10081703.02,5040851.51,32,1425768.111,ARABIAN FOOD COMPANY,ZARBAKHT PROCESSORS,2,0
388,29257169.23,5851433.846,5,4306186.361,AQ HOLDINGS (PTY) LTD,  KHAWAJA RICE PROCESSORS,5,0
389,733748.4,733748.4,5,,AQ HOLDINGS (PTY) LTD,MINEX INTERNATIONAL,1,0
390,10455914.7,10455914.7,14,,APLHA TRADING COMPANY LTD,NOOR RICE MILLS,1,0
391,11909784.74,11909784.74,14,,APLHA TRADING COMPANY LTD,RICECO INDUSTRIES,1,0
392,11582873.63,11582873.63,14,,APEX COMMODITIES LTD,BABA ENTERPRISES,1,0
393,19943281.51,9971640.755,14,144162.9719,APEX COMMODITIES LTD,RICECO INDUSTRIES,2,0
394,18464140.1,2637734.3,2,780307.2199,ATLANTIS CORPORATION IMPORTS LTD,CHAWALA ENTERPRISES,7,0
395,102862108.2,3025356.123,2,607577.0538,ATLANTIS CORPORATION IMPORTS LTD,KAUSAR PROCESSING IND PVT LTD,34,0
396,78273406.16,19568351.54,10,1759184.465,BLUE WATER,AZIZ TEXTILES,4,0
397,7551293.04,7551293.04,10,,BLUE WATER,HOME AND HOTEL TEXTILES PVT LIMITED,1,0
398,47334633.39,11833658.35,14,656999.9044,MKUBWA OMAR,AWAMI AGRO COMMODITIES,4,0
399,21792327.48,21792327.48,14,,MKUBWA OMAR,BABA ENTERPRISES,1,0
400,8892686.66,4446343.33,2,17639.20292,BARTOLOME ADROVER I DOS S L,AFROZE TEXTILE INDUSTRIES (PVT.) LT,2,1
401,22638844.18,11319422.09,2,414130.8043,BARTOLOME ADROVER I DOS S L,DAWOOD EXPORTS (PVT) LTD,2,0
402,14508908.16,1450890.816,21,927753.2583,MCK TRADE EU LTD M36BZ MANCHESTER,A I TEXTILES,10,1
403,1444989.59,1444989.59,21,,MCK TRADE EU LTD M36BZ MANCHESTER,SALEEM TEXTILE,1,0
404,2448388.43,2448388.43,48,,BISMA INTERNATIONAL CORP,NFK EXPORTS (PVT) LTD,1,0
405,10650040.41,5325020.205,48,5808587.153,BISMA INTERNATIONAL CORP,NFK EXPORTS PVT LTD.,2,0
406,15382511.1,15382511.1,45,,BINAWADH ALNAQEEB GENERAL,AL ASAD RICE MILLS,1,0
407,277982979.7,23165248.3,45,13199914.07,BINAWADH ALNAQEEB GENERAL,GRAINS AND MORE,12,0
408,21737688.38,5434422.095,2,415999.5564,MEDIATEX SRL,BEST EXPORTS PVT LTD,4,0
409,27982957.49,3997565.356,2,198482.8873,MEDIATEX SRL,SHERCOTEX,7,0
410,1543749.84,771874.92,49,298387.451,MEDICAL DENTAL PACIFIC,N S.T. ZONE SIALKOT,2,0
411,830322.92,830322.92,15,,BIKE FASHION VERTRIEBS GMBH,LASER SPORTS  PVT LTD,1,0
412,5208817,744116.7143,27,111689.2836,BHAGWATI INDUSTRIES,ENGLISH LEATHER GARMENTS,7,0
413,1474482.08,1474482.08,27,,BHAGWATI INDUSTRIES,NAZIR AHMAD ENTERPRISES,1,0
414,6468642.04,6468642.04,1,,BHADHLIA WHOLE,GULFRAZ FABRICS,1,0
415,3149877.06,3149877.06,1,,BHADHLIA WHOLE,KAMRAN TEXTILES PVT LTD,1,0
416,2532979.14,2532979.14,21,,BETTENWELT GMBH AND CO KG,AL HADI TEXTILE PVT LTD,1,0
417,137525766.6,4742267.814,21,1270087.591,BETTENWELT GMBH AND CO KG,WORTHTEX INTERNATIONAL,29,0
418,4051708.8,4051708.8,4,,MELINEN MOUTEVELI BROS,SUNAIR TEXTILES,1,0
419,41412757.33,3764796.121,4,1223301.741,MELINEN MOUTEVELI BROS,ZEPHYR TEXTILES LTD.,11,0
420,5289551.33,1763183.777,10,2536563.948,BEST INDUSTRIES PVT LTD,NICE KNITS (PVT).LTD.,3,0
421,10580112.09,1511444.584,10,648148.7135,BEST INDUSTRIES PVT LTD,RAMAY TEXTILE  PVT LTD,7,0
422,10640270.04,3546756.68,5,387451.26,BEST FOODS INC,GOLDEN HARVEST FOOD PVT LTD,3,0
423,71887018.36,2662482.161,5,601557.5505,BEST FOODS INC,JUICE PACK INDUSTRIES PVT LTD,27,0
424,70722115.22,2828884.609,4,1546153.195,MITRE LINEN 1 GOAT MILL ROAD DOWLAI,MIAN GHOUS BUX PVT.LTD.,25,0
425,12024713.85,12024713.85,4,,MITRE LINEN 1 GOAT MILL ROAD DOWLAI,NISHAT MILLS LTD,1,0
426,2234195.74,1117097.87,27,617095.3548, M K WOOLLEN,ENGLISH LEATHER GARMENTS,2,0
427,591487.16,591487.16,27,, M K WOOLLEN,NAZIR AHMAD ENTERPRISES,1,0
428,2630688.22,2630688.22,21,,MG EKKELBOOM BV TEXTILE GROOTHANDE,GOHAR TEXTILE MILLS PVT LTD,1,0
429,1155805.72,1155805.72,21,,MG EKKELBOOM BV TEXTILE GROOTHANDE,LOYAL TEXTILE,1,0
430,185555693.7,10915040.8,48,1591242.607,BENCHTEX SOURCING INC,NFK EXPORTS (PVT) LTD,17,0
431,271883696.1,11821030.26,48,1592050.463,BENCHTEX SOURCING INC,NFK EXPORTS PVT LTD.,23,0
432,3745056.03,3745056.03,8,,MICHAEL GUINEY LTD,A I TEXTILES,1,1
433,9294792.45,3098264.15,8,1745078.68,MICHAEL GUINEY LTD,FATIMA WEAVING MILLS PVT LTD,3,0
434,325679.47,325679.47,6,,BEIJING JINXINYA SCIENCE,HILBRO PVT LTD,1,0
435,13133471.62,2626694.324,2,2935221.084,BEDMAKER VITHAL HOUSE,AL REHMAT TRADERS PVT LTD,5,0
436,8577485.25,8577485.25,2,,BEDMAKER VITHAL HOUSE,SHERCOTEX,1,0
437,164747034,5148344.811,4,5905352.879,BEDDING HOUSE BV,GUL AHMED TEXTILE MILLS LTD.,32,1
438,17796959.69,8898479.845,4,405300.0942,BEDDING HOUSE BV,NISHAT MILLS LTD,2,0
439,6605893.87,6605893.87,4,,MILA ROSA SA,KAMAL LIMITED,1,0
440,46621172.1,6660167.443,4,3388143.54,MILA ROSA SA,SUNAIR TEXTILES,7,0
441,39330675.23,2809333.945,3,1872541.427,BDE HUMMEL,PEAK GARMENTS PVT LTD,14,0
442,27834850.36,2319570.863,3,1478349.569,BDE HUMMEL,VISION TECHNOLOGIES CORPORATION(PVT,12,0
443,2637496.35,659374.0875,27,231072.3052,BD WOOLLENS,ENGLISH LEATHER GARMENTS,4,0
444,2504546.38,626136.595,27,236680.8825,BD WOOLLENS,NAZIR AHMAD ENTERPRISES,4,0
445,1549550.84,1549550.84,16,,BAUM TRADING LTD,AL AZIZ APPARELS SUPPLY,1,0
446,3137994.53,3137994.53,16,,BAUM TRADING LTD,AL FAROOQ ENTERPRISES,1,0
447,25890494.22,1618155.889,4,1338361.576,MIMCO GMBH HETTLINGER STR9 86637 W,ASHAR INTERNATIONAL PVT LTD,16,0
448,1823511.53,911755.765,4,392864.49,MIMCO GMBH HETTLINGER STR9 86637 W,M/S.MULTAN INDUSTRIES,2,0
449,7568.09,7568.09,0,,MINI KIWI INC 1206 BOULEVARD ST,LEADING HAWK,1,0
450,4779883.41,682840.4871,0,317114.3443,MINI KIWI INC 1206 BOULEVARD ST,REHBAR MAJEED TEXTILES PVT LTD,7,0
451,8084303.6,2694767.867,2,1396260.19,BASSA SHABS LTD,M/S WINTEX EXPORTS PVT LTD,3,0
452,588811.08,588811.08,2,,BASSA SHABS LTD,WINTEX EXPORTS PVT LTD,1,0
453,2018611.03,1009305.515,16,45748.21775,MEXOM SA,DIAMOND FABRICS,2,1
454,91718.55,91718.55,16,,MEXOM SA,MADRIGAL SPROTS  PVT  LTD.,1,0
455,18331180.72,4582795.18,10,737541.8136,NEGOWAK,FAIZAN SHAHZAD PVT LIMITED,4,0
456,59040879.46,11808175.89,12,1372823.822,CORPORACION SAAB SA,BHARARA TEXTILES,5,0
457,10178321.96,10178321.96,12,,CORPORACION SAAB SA,HOUSETEX INDUSTRIES,1,0
458,3516383.9,1758191.95,12,2254940.459,COTONIFICIO,ANWAAR TEXTILE,2,0
459,3968302.12,3968302.12,12,,COTONIFICIO,SHUJABAD WEAVING MILLS LTD.,1,1
460,23529076.42,1568605.095,50,493346.414,HALA TEXTILES UK LTD,M/S HALA  INDUSTRIES,15,0
461,1053453.06,1053453.06,0,,FABKA FABRICS,KALIM TEXTILES,1,0
462,1459519.91,729759.955,0,269032.5706,FABKA FABRICS,REHBAR MAJEED TEXTILES PVT LTD,2,0
463,3694667.7,3694667.7,21,,HAMZA AB,DIAMOND FABRICS,1,1
464,378342.25,378342.25,21,,HAMZA AB,GOHAR TEXTILE MILLS PVT LTD,1,0
465,120524777.5,1229844.668,32,2493522.074,HANDM HENNES AND MAURITZ GBC AB,ARTISTIC FABRIC AND GARMENT IND PVT,98,0
466,18906219.27,378124.3854,32,517076.1166,HANDM HENNES AND MAURITZ GBC AB,INTERLOOP LIMITED,50,0
467,569608.88,569608.88,0,,mr piquet guillaume,IMPERIAL STEEL,1,0
468,40730.71,40730.71,0,,mr piquet guillaume,RAFIQUE WEARS,1,0
469,4359566.12,4359566.12,32,,HANSKE- COMPANIET AS,Feroze 1888 Mill Limited,1,1
470,638046.64,638046.64,32,,HANSKE- COMPANIET AS,SAS AGENCIES PVT LTD,1,0
471,1258504.74,629252.37,21,383343.1346,HAPPYHATMANN OBJEKT GMBH,ALLAH TAWAKAL TEXTILE,2,0
472,1185050.34,1185050.34,21,,HAPPYHATMANN OBJEKT GMBH,GOHAR TEXTILE MILLS PVT LTD,1,0
473,20848448.03,2606056.004,18,2895754.517,HARALD MEISENBACH GMBH AND CO VERTRI,M.S LEATER COORDINATOR,8,0
474,586998.72,586998.72,27,,HARISH RAJ AND BROTHERS,ENGLISH LEATHER GARMENTS,1,0
475,1541542.5,1541542.5,27,,HARISH RAJ AND BROTHERS,M  SAJJAD AND  COMPANY,1,0
476,9341909.58,9341909.58,2,,HARRY CORRY LTD,DAWOOD EXPORTS (PVT) LTD,1,0
477,8250137.03,8250137.03,2,,HARRY CORRY LTD,SHERCOTEX,1,0
478,10370747.49,1728457.915,14,286640.1047,HASSAN AHMED MUZAFFAR TRADING EST,BABA ENTERPRISES,6,0
479,2294798.12,2294798.12,14,,HASSAN AHMED MUZAFFAR TRADING EST,FAIR EXPORT DEAL,1,0
480,934788.36,467394.18,12,270909.4653,"EUROPEAN APPAREL LTD,",COSY INTERNATIONAL PVT LTD,2,1
481,9844597.46,4922298.73,12,0,"EUROPEAN APPAREL LTD,",INDUS DYEING AND MFG CO LTD.,2,0
482,36759946.84,3341813.349,18,2836305.31,HDM LEATHERS,M.S LEATER COORDINATOR,11,0
483,31495995.97,2863272.361,18,2091963.692,HDM LEATHERS,MULTAN HIDE CO PVT LTD,11,0
484,57209398.4,4400722.954,15,1788102.166,FABTEX PO BOX 22517,LEGACY TEXTILES,13,0
485,1866655.93,1866655.93,15,,FABTEX PO BOX 22517,SADAQAT LIMITED,1,0
486,6267186.17,6267186.17,15,,EURO COMFORT SP ZOOUL SPOLDZIE,BISMILLAH TEXTILE MILLS LIMITED,1,0
487,20082966.24,5020741.56,15,714673.482,EURO COMFORT SP ZOOUL SPOLDZIE,NIAGARA MILLS PVT LIMITED,4,0
488,1496846.74,1496846.74,5,,HEMANI HERBAL LLC,JUICE PACK INDUSTRIES PVT LTD,1,0
489,1603345.08,1603345.08,5,,HEMANI HERBAL LLC,MITCHELL'S FRUIT FARMS LTD,1,0
490,8019649.89,8019649.89,21,,HERMET S R L,GOHAR TEXTILE MILLS PVT LTD,1,0
491,27109706.72,5421941.344,21,1117747.766,HERMET S R L,GUL AHMED TEXTILE MILLS LTD.,5,0
492,4784133.91,4784133.91,37,,HI TECH TEXTILE LLC,LIBERTY MILLS LTD,1,0
493,5835446.51,1945148.837,37,688015.8495,HI TECH TEXTILE LLC,SARENA IND.& EMBROIDERY MILLS PVT,3,0
494,12171418.46,12171418.46,14,,ESTABLISHMENT ZAHRAT ALSHAZA FOR,HASSAN ALI RICE EXPORT COMPANY,1,0
495,1058332.49,1058332.49,14,,ESTABLISHMENT ZAHRAT ALSHAZA FOR,IMRAN MARBLE INDUSTRIES,1,0
