Community_ID,Drawee,Exporter,Frequency,Linkage,Amount,Average,Deviation
1,US APPAREL COMPANY,GALAXY KNITWEAR COMPANY,18,0,53137511.96,2952083.998,1833290.403
1,US APPAREL COMPANY,M S AG APPRELS,53,0,61706919.29,1164281.496,487796.6076
1,US APPAREL COMPANY,M.M APPARELS,2,0,988031.85,494015.925,68650.68515
2,ALBRECHT BENDER GMBH CO,STAR FLOW INDUSTRY,3,0,807730.28,269243.4267,195065.1035
2,ALBRECHT BENDER GMBH CO,WILLS & CO,6,1,3878213.94,646368.99,700107.3563
2,A+S INTERNATIONAL,M.A.QADEER & NASEER SURGICAL CO.,1,0,421119.17,421119.17,
2,A+S INTERNATIONAL,RAFSU INTERNATIONAL,1,0,691819.92,691819.92,
2,EDUARD HAAG GMBH GERMANY,BARLAS CORPORATION,2,1,2179599.62,1089799.81,77566.34706
2,EDUARD HAAG GMBH GERMANY,FAIR PLAY LEATHER IND.,1,0,163615.79,163615.79,
2,HUSS INTERNATIONAL AUSTRALIA,EURO PLUS SIALKOT PRIVATE LIMITED,8,0,11318631.96,1414828.995,592452.8673
2,HUSS INTERNATIONAL AUSTRALIA,RAFSU INTERNATIONAL,1,0,744230.52,744230.52,
2,PRO-FIT TRAINING LTD,STYLE PAK IMPEX,1,0,755105.72,755105.72,
2,PRO-FIT TRAINING LTD,TOP KING GEAR,1,0,47169.54,47169.54,
2,P J METSELAAR EN,S.G.MANUFACTURERS,1,0,448823.2,448823.2,
2,P J METSELAAR EN,WIN MASTER INDUSTRIES,1,0,35219.92,35219.92,
2,COMEPA FRANCE,S.G.MANUFACTURERS,4,0,33485576.89,8371394.223,8640188.522
2,SAS ELIDIA GROUPE,GARISH HORSE IMPEX,1,0,25157.09,25157.09,
2,SAS ELIDIA GROUPE,WIN MASTER INDUSTRIES,3,0,250336.09,83445.36333,24183.04505
2,COMEPA INDUSTRIES,HILBRO INSTRUMENT  PVT  LTD.,4,1,31531961.72,7882990.43,6132002.784
2,COMEPA INDUSTRIES,S.G.MANUFACTURERS,2,0,16986836.06,8493418.03,10426264.16
2,TERRANE LIMITED,SUPER BADGE WORKS,1,0,115525.17,115525.17,
2,TERRANE LIMITED,WIN MASTER INDUSTRIES,1,0,115525.17,115525.17,
2,CENTRAL REGALIA,WIN MASTER INDUSTRIES,3,0,197190.67,65730.22333,25951.1398
2,CENTRAL REGALIA,YOUNG BIRD ENTERPRISES,1,0,89040.87,89040.87,
2,DSV AIR & SEA FRANCE,KOSHER ENTERPRISES,1,0,933170.73,933170.73,
2,DSV AIR & SEA FRANCE,S.G.MANUFACTURERS,1,0,337739.46,337739.46,
2,LANDANGER SA,HENCKEL SURGICAL CO,4,1,688517.23,172129.3075,138229.9202
2,LANDANGER SA,HILBRO INTT PVT LTD,2,1,1226409.39,613204.695,256272.9843
2,LANDANGER SA,RUMEX INTERNATIONAL,1,0,185363.98,185363.98,
2,QATAR,OTTO TRADING,4,0,1554943.89,388735.9725,181713.9357
2,QATAR,S.G.MANUFACTURERS,1,0,456145.17,456145.17,
2,QATAR,SUNPOWER CORPORATION,1,0,52410.6,52410.6,
2,GRACIE FRAMING,STAR FLOW INDUSTRY,4,0,453183.18,113295.795,106001.8134
2,GRACIE FRAMING,SUPER BADGE WORKS,5,0,1348915.57,269783.114,107934.5531
2,GRACIE FRAMING,WIN MASTER INDUSTRIES,1,0,180549.14,180549.14,
2,NEW ZEALAND,NAZIR ALAM & SONS,1,1,126728.83,126728.83,
2,NEW ZEALAND,STYLE PAK IMPEX,1,0,349578.7,349578.7,
2,NEW ZEALAND,SUNPOWER CORPORATION,1,0,48217.75,48217.75,
2,NEW ZEALAND,SWIFTLY RISE INDUSTRIES,1,0,47169.54,47169.54,
2,ALBRETCH BENDER GMBH CO,EXPORT CLUB1,1,0,90437.87,90437.87,
2,ALBRETCH BENDER GMBH CO,STAR FLOW INDUSTRY,4,0,1116991.51,279247.8775,145946.0624
2,ALBRETCH BENDER GMBH CO,WILLS & CO,16,1,15254923.84,953432.74,1018903.494
2,POLAND,AHAF SURGICO,1,0,13102.65,13102.65,
2,POLAND,NICE EMBROIDERY WORKS,1,0,16079.09,16079.09,
2,POLAND,S.G.MANUFACTURERS,1,0,269495.31,269495.31,
2,BRAZIL,M.A.AWAN SURGICAL CO.,1,0,13201443.98,13201443.98,
2,BRAZIL,MEDISPOREX PVT LTD,1,1,803685.1,803685.1,
2,BRAZIL,RAHEEL BROTHER CO,1,0,103982.63,103982.63,
2,BRAZIL,WOLDORF ENTERPRISES,1,0,5535135.88,5535135.88,
2,AUSTRALIA,A AND S INDUSTRIES,1,0,94339.08,94339.08,
2,AUSTRALIA,A-ONE SURGICO(PRIVATE)LIMITED,1,1,220176.93,220176.93,
2,AUSTRALIA,BEST BROW INDS,2,1,6853838.98,3426919.49,371362.3416
2,AUSTRALIA,BOLD EYES INDUSTRIES,1,1,408802.68,408802.68,
2,AUSTRALIA,ENNOBLE INTERNATIONAL PRIVATE LIMTD,3,1,146513.83,48837.94333,40284.71861
2,AUSTRALIA,EURO PLUS SIALKOT PRIVATE LIMITED,2,0,3696864.48,1848432.24,1283183.154
2,AUSTRALIA,FAIR PLAY LEATHER IND.,2,0,142102.98,71051.49,11164.66453
2,AUSTRALIA,HILBRO PVT LTD,2,1,259401.03,129700.515,175611.9985
2,AUSTRALIA,LEGEND INDUSTRIES,2,1,82735.51,41367.755,41085.96576
2,AUSTRALIA,MUKHTAR & SONS,2,0,263033.08,131516.54,132574.3473
2,AUSTRALIA,RAHEEL BROTHER CO,1,0,9433.91,9433.91,
2,AUSTRALIA,RUMEX INTERNATIONAL,1,0,42976.69,42976.69,
2,AUSTRALIA,S.G.MANUFACTURERS,2,0,2634051.94,1317025.97,1781172.467
2,AUSTRALIA,STYLE PAK IMPEX,1,0,127311.64,127311.64,
3,47 BRAND LLC,ALPEN LIFE STYLE AND TRACHTEN,1,0,114562.12,114562.12,
3,UPS UNITED PARCEL SERVICE OF,GREEN HILL,2,0,477355.75,238677.875,278838.6143
3,UPS UNITED PARCEL SERVICE OF,WILLS & CO,1,0,648455.39,648455.39,
3,YI TAI ENTERPISE,LUCKY GLOBAL COMMODITIES,2,1,1155129.62,577564.81,0
3,YI TAI ENTERPISE,LUCKY SEVEN INDUSTRIES PVT LTD,1,0,607962.96,607962.96,
3,AK INSTRUMENTS CO LTD,HILBRO INTT PVT LTD,2,1,155764.3,77882.15,9932.050133
3,AK INSTRUMENTS CO LTD,MAQ SURGICAL,1,0,168308.7,168308.7,
3,TS TRADING,GUMCORP PRIVATE LIMITED,1,0,2002084.92,2002084.92,
3,TS TRADING,PAK SAFETY TEXTILE,1,0,139936.3,139936.3,
3,WAHL UK LTD ENGLAND,CREDIBLE SURGICAL PVT LTD,1,0,751014.55,751014.55,
3,WAHL UK LTD ENGLAND,NELSON LUC SURGICAL CO,1,0,22599.45,22599.45,
3,NEW BALANCE ATHLETIC SHOE INC,LEATHERWARE PVT LTD,44,0,128041737.3,2910039.484,3686713.838
3,NEW BALANCE ATHLETIC SHOE INC,NEW FRANKFURT GARMENTS,1,0,22441.16,22441.16,
3,FIXAN BV,LASER SPORTS  PVT LTD,1,1,458261.52,458261.52,
3,FIXAN BV,NAZIR ALAM & SONS,1,0,12840.6,12840.6,
3,MINISTERE DE LA JEUNESSE DES SPORTS,GREEN HILL,1,0,764599.38,764599.38,
3,MISTER B WHOLESALE & INTERNET BV,HOUSE OF STEEL,7,0,1861567.15,265938.1643,127633.7035
3,MISTER B WHOLESALE & INTERNET BV,SHARP LOOK INTERNATIONAL,1,0,71250.68,71250.68,
3,GEMANY,BEAM GOLD IMPEX,1,0,28051.45,28051.45,
3,GEMANY,KARAM INDUSTRIES,1,0,28051.45,28051.45,
3,GLENN EDWARD LEWIS AUSTRALIA,M S IKRA ASSOCIATES,2,0,225549.01,112774.505,70169.91821
3,GLENN EDWARD LEWIS AUSTRALIA,M/S MAHA SPORTS,1,0,37547.36,37547.36,
3,PH LEATHER WEARS STUTTGART GERM,BUSA SPORTS,1,0,6732.35,6732.35,
3,PH LEATHER WEARS STUTTGART GERM,P H INDUSTRIES,4,0,799462.64,199865.66,244866.873
3,EDWARD JETTE,GOLDEN BADGES COMPANY,1,0,23584.77,23584.77,
3,EDWARD JETTE,HAMZA CORPORATION,1,0,110062.26,110062.26,
3,FETRE DESIGNS FRED EDWARDS,ALTEZA INTERNATIONAL,1,0,259956.58,259956.58,
3,FETRE DESIGNS FRED EDWARDS,GET FIT INTERNATIONAL,1,0,297377.74,297377.74,
3,ESSIMO BV NETHERLAND,SESIL PRIVATE LIMITED,3,0,12016145.77,4005381.923,2367486.862
3,PARIS AIR,BADGES POINT,1,0,229124.24,229124.24,
3,PARIS AIR,HENCKEL SURGICAL CO,1,0,13015.87,13015.87,
3,MET APP PTY LTD,MUBARIK IMPEX,5,0,1166712.36,233342.472,115714.5608
3,IRELAND HOCKEY LTD,BILLO TRADING CORP,1,0,117759.99,117759.99,
3,IRELAND HOCKEY LTD,PARAGON SPORTS,1,0,48516.55,48516.55,
3,INCREDIBLE SPORTS COMANY LTD UK,KMS CAPS CO.,4,0,260633.18,65158.295,33461.25926
3,INCREDIBLE SPORTS COMANY LTD UK,LEGEND INDUSTRIES,7,0,3489470.23,498495.7471,96461.53012
3,JUKADO CANADA,JJ MARTIAL ARTS  SPORTS GOODS,1,0,391166.51,391166.51,
3,JUKADO CANADA,LILO SPORTS,7,0,2324656.44,332093.7771,395406.4823
3,JENSEN INSTRUMENT TECHNOLOGIES,MEDICAL STEEL INDUSTRIES,5,0,81514.21,16302.842,11775.9738
3,JENSEN INSTRUMENT TECHNOLOGIES,PRAISE CORPORATION,2,0,376098.47,188049.235,15713.39053
3,JENICE LEATHER GARMENTS,EURO LEATHER GARMENTS,21,0,30655471.75,1459784.369,544870.8598
3,JCH INTERNATIONAL,LUCKY SEVEN INDUSTRIES PVT LTD,6,0,2082312.26,347052.0433,282603.2706
3,JCH INTERNATIONAL,WEEN INTERNATIONAL,4,0,606380.34,151595.085,89027.38364
3,ISKAY SPORTS BERLIN GERMANY,M S IKRA ASSOCIATES,2,0,376082.74,188041.37,117691.0931
3,ISKAY SPORTS BERLIN GERMANY,SAVIOUR INDUSTRIES,1,1,2114318.44,2114318.44,
3,IFI SPORTS GMBH,ANWAR SONS,1,0,735834.34,735834.34,
3,IFI SPORTS GMBH,RAJCO INDUSTRIES,8,0,1983882.7,247985.3375,96945.94088
3,MARZIALSPORT GROUP SRL,JJ MARTIAL ARTS  SPORTS GOODS,1,0,371722.18,371722.18,
3,MARZIALSPORT GROUP SRL,SESIL PRIVATE LIMITED,3,0,1168206.07,389402.0233,484293.596
3,ICM AS DENMARK,BARLAS CORPORATION,9,0,3703899.02,411544.3356,428788.6809
3,ICM AS DENMARK,VIP WEARS,1,1,1257665.72,1257665.72,
3,HEIKO WILD GMBH GERMANY,NELSON LUC SURGICAL CO,17,0,19922392.76,1171905.456,483678.5191
3,CAROLINE SMITH,DR ARIFS INTERNATIONAL,1,0,72745.91,72745.91,
3,CAROLINE SMITH,REHBAR MAJEED TEXTILES PVT LTD,1,1,137944.7,137944.7,
3,SKRILL LIMITED,PAK ANSARI IMPEX,1,0,338817.76,338817.76,
3,SOLIDUR SAS FRANCE,HAND GUARD INTERNATIONAL,6,0,20170114.61,3361685.768,3386330.594
3,SOLIDUR SAS FRANCE,SEVEN HILLS DENTAL CORPORATION,2,0,1130391.82,565195.91,129264.9037
3,SPORT 8I BV,LEATHERWARE PVT LTD,1,0,904082.85,904082.85,
3,SPORT 8I BV,TABO GUGOO IND PVT LTD,1,1,1156821.6,1156821.6,
3,SPORT HIT LTD,GREEN HILL,1,0,5662860.51,5662860.51,
3,SPORT HIT LTD,LILO SPORTS,3,0,1394616.08,464872.0267,339596.5234
3,SPORTASTIC HANDELSGEMBH,GREEN HILL,1,0,10879334.7,10879334.7,
3,SPORTASTIC HANDELSGEMBH,LASER SPORTS  PVT LTD,5,1,1488383.48,297676.696,288671.4825
3,BALANCE ATHELITICS,JJ MARTIAL ARTS  SPORTS GOODS,1,0,538723.32,538723.32,
3,BALANCE ATHELITICS,LEATHERWARE PVT LTD,1,0,9741076.04,9741076.04,
3,AUSTRALIAN ENTOMOLOGICAL SUPPLIES,HINT FASHION,1,0,79559.29,79559.29,
3,AUSTRALIAN ENTOMOLOGICAL SUPPLIES,MUBARIK IMPEX,3,0,593838.3,197946.1,61644.00185
3,BOGDAN MILTCHEV,NASHRAH LEATHER INDUSTRY,1,0,104401.92,104401.92,
3,BOGDAN MILTCHEV,YORK MOTOWEAR INTERNATIONAL,1,0,98374.7,98374.7,
3,TAKASAGO MEDICAL INDUSTRY CO LTD,LEATHERWARE PVT LTD,1,0,619047.8,619047.8,
3,SPORTS PLEX USA INTERNATIONAL,K.M.ASHRAF & SONS PVT LTD,24,0,214912520.6,8954688.36,4810353.955
3,SPORTS PLEX USA INTERNATIONAL,LEATHERWARE PVT LTD,1,0,3991434.06,3991434.06,
3,COMPANIA DE PRODUCTS,GUMCORP PRIVATE LIMITED,1,0,150942.53,150942.53,
3,COMPANIA DE PRODUCTS,HINT FASHION,1,0,522638.5,522638.5,
3,RUSSIA,JJ MARTIAL ARTS  SPORTS GOODS,1,0,193919.22,193919.22,
3,RUSSIA,P H INDUSTRIES,1,0,141298.98,141298.98,
3,DANCO DE,HAFEEZ IMPEX INTERNATIONAL,1,0,561029,561029,
3,DANCO DE,SPONA SPORTS,1,0,650344.82,650344.82,
3,DOUBLE A SRI,RAJCO INDUSTRIES,29,0,6150670.07,212092.0714,224449.5854
3,DOUBLE A SRI,WILLS & CO,1,0,172745.34,172745.34,
3,DUBAI UAE,PRAISE CORPORATION,2,0,761788.07,380894.035,301482.2099
3,DUBAI UAE,RIZWAN INDUSTRIAL ENTERPRISES,1,0,78615.9,78615.9,
3,REBO GEAR LTD ENGLAND,ANWAR SONS,1,0,733748.4,733748.4,
3,REBO GEAR LTD ENGLAND,SPORTS CORNER  PROP AFTAB AHMED BAR,1,1,169633.59,169633.59,
3,BNP PARIBAS APAC TRADE FRANCE,MEHAR HUSSAIN and SONS,1,0,1509168.01,1509168.01,
3,BNP PARIBAS APAC TRADE FRANCE,RAJCO INDUSTRIES,1,0,224333.09,224333.09,
3,BNP PARIBAS APAC TRADE FRANCE,WEEN INTERNATIONAL,1,0,66650.25,66650.25,
3,CZECH REPUBLIC,HAND GUARD INTERNATIONAL,1,0,244047.62,244047.62,
3,CZECH REPUBLIC,REVENUE SPORTS,2,1,94339.08,47169.54,29647.91253
3,CZECH REPUBLIC,SHARP LOOK INTERNATIONAL,1,0,55990.69,55990.69,
3,MILLER MFG,NAZIR ALAM & SONS,1,0,914921.36,914921.36,
3,MILLER MFG,SESIL PRIVATE LIMITED,1,0,56760.68,56760.68,
3,MILLER MFG,WILLS & CO,1,0,783926.31,783926.31,
3,GS INSTRUMENTS GMBH,ALFRAMED,1,1,203353.13,203353.13,
3,GS INSTRUMENTS GMBH,MAQ SURGICAL,17,0,3101205.61,182423.8594,116136.5186
3,SAKI AB,FOUR FORCES INTERNATIONAL,1,0,18327.99,18327.99,
3,SAKI AB,K.M.ASHRAF & SONS PVT LTD,2,0,16217501.05,8108750.525,3273051.718
3,SAKI AB,QUALITY THINGS INTERNATIONAL,1,0,15726.32,15726.32,
3,UNITED KINGDOM,GLOBAL IT RACKS,2,0,499916.22,249958.11,20481.41863
3,UNITED KINGDOM,JAFFSON ENTERPRISES PVT LTD,1,1,966911.47,966911.47,
3,UNITED KINGDOM,PRAISE CORPORATION,3,0,4380786.8,1460262.267,330352.4756
