Amount,Applicant,Average,Beneficiary,Community_ID,Deviation,Frequency,Linkage
1517286.87,"EFROZE CHEMICAL INDUSTRIES (PVT) LTD., 12 C, BLOCK 6, P.E.C.H.S. OFF. SHAHRAH-E- FAISAL,",379321.7175,JIANGSU ZHONGJIN MATAI MEDICINAL PACKAGING CO LTD LIANYUNGANG ECON AND TECH DEVELOPMENT ZONE LIANYUNGANG CITY 222047,32,37972.61637,4,0
199160.28,"EFROZE CHEMICAL INDUSTRIES (PVT) LTD., 12 C, BLOCK 6, P.E.C.H.S. OFF. SHAHRAH-E- FAISAL,",199160.28,SHOUGUANG FUKANG PHARMACEUTICAL CO LTD SHANDONG SHOUGUANG ECONOMY 7TECHNOLOGY DEVELOPMENT ZONE,32,,1,0
419284.8,"EFROZE CHEMICAL INDUSTRIES (PVT) LTD., 12 C, BLOCK 6, P.E.C.H.S. OFF. SHAHRAH-E- FAISAL,",209642.4,SPANSULES FORMULATIONS PLOT NO154A4IDA BOLLARAM MEDA ,32,0,2,0
770435.82,"EFROZE CHEMICAL INDUSTRIES (PVT) LTD., 12 C, BLOCK 6, P.E.C.H.S. OFF. SHAHRAH-E- FAISAL,",256811.94,YUNG ZIP CHEMICAL IND CO LTD 59 YOU SHIH ROAD YOUTH INDUSTRIAL DISTRICT DAJIA TAICHUNG TAIWAN,32,0,3,0
371288874.8,NAYAB INTERNATIONAL CHAK NO 279 RAB IQBAL SHAHEED CHOWK HOUSE NO P-394 STREET NO 1 FAISALABAD,18564443.74,CITY MOUNTAINS GENERAL TRADING LLC UAE ,3,7147859.668,20,0
12750241.13,NAYAB INTERNATIONAL CHAK NO 279 RAB IQBAL SHAHEED CHOWK HOUSE NO P-394 STREET NO 1 FAISALABAD,12750241.13,GUANGDONG FUTINA ELECTRICAL CO LTD FOSHAN LELIU CHINA ,3,,1,0
15236744.64,NAYAB INTERNATIONAL CHAK NO 279 RAB IQBAL SHAHEED CHOWK HOUSE NO P-394 STREET NO 1 FAISALABAD,7618372.32,HONOURWAY GARMENTS LIMITED CC WU BLDG 302308 RD HONG KONG ,3,2858104.722,2,0
12338451.04,NAYAB INTERNATIONAL CHAK NO 279 RAB IQBAL SHAHEED CHOWK HOUSE NO P-394 STREET NO 1 FAISALABAD,12338451.04,SHANGHAI OCEAN SHIPPING SUPPLY CO LTD SHANGHAI CHINA ,3,,1,0
12323199.56,NAYAB INTERNATIONAL CHAK NO 279 RAB IQBAL SHAHEED CHOWK HOUSE NO P-394 STREET NO 1 FAISALABAD,12323199.56,TIAN JIN TEXTILLE GROUP IMPORT AND EXPORT INC CHINA ,3,,1,0
29435889.38,NAYAB INTERNATIONAL CHAK NO 279 RAB IQBAL SHAHEED CHOWK HOUSE NO P-394 STREET NO 1 FAISALABAD,9811963.127,UING LIMITED UNIT 4 7F BRIGHT WAY TOWER NO33 MONGKOK KOWLOON HK ,3,204402.2356,3,0
