Amount,Average,Community_ID,Deviation,Drawee,Exporter,Frequency,Linkage
6996205,6996205,6,,SHAOXING HUANJO TEXTILES CO LTD,PROSPERITY WEAVING MILLS LTD,1,0
6726926,6726926,11,,ARABIAN FOOD COMPANY,ENGRO FOODS LIMITED,1,0
26559000,26559000,1,,AHMAD MANUFACTURING CORPORATION,INDUS DYEING & MFG CO LTD,1,0
7660000,7660000,1,,AHMAD MANUFACTURING CORPORATION,SAPPHIRE TEXTILE MILLS LIMITED,1,0
2384845.8,2384845.8,5,,SPDI,RAINBOW INDUSTRIES,1,0
287148318,9901666.138,3,6574816.881,ALI MURTAZA ASSOCIATES PRIVATE,KOHINOOR MILLS LTD,29,0
7485687,3742843.5,3,1368996.205,ALI MURTAZA ASSOCIATES PRIVATE,SARENA INDUSTRIES AND EMBROIDERY,2,0
27841191.95,9280397.317,12,357162.8017,SOC COM E IND VIVACOL LTDA,AL BARKA FABRICS PVT LTD,3,0
10294748,5147374,12,282558.4555,SOC COM E IND VIVACOL LTDA,VKY EXPORTS,2,0
3304307.81,330430.781,13,147947.6182,SULTANA TRADE LINK,PAK POWER ENTERPRISES,10,0
28045401.1,5609080.22,12,2057357.469,ZHEJIANG JIALI RENEWABLE RESOURCES,VARYA ENTERPRISES,5,0
115623502,23124700.4,3,15659252.66,BAYKAN MODA ANONIM SIRKETI,AZGARD NINE LIMITED,5,0
128099360,42699786.67,3,24775468.66,BAYKAN MODA ANONIM SIRKETI,SIDDIQSONS LIMITED,3,0
161490100,12422315.38,3,8861911.059,SIDDIQSONS LIMITED,HUSSAIN MILLS LIMITED,13,1
277860500,17366281.25,3,14690585.73,SIDDIQSONS LIMITED,INDUS DYEING & MFG CO LTD,16,1
13174621,6587310.5,3,5016985.545,SIDDIQSONS LIMITED,J AND P COATS PAKISTAN PVT LTD,2,0
1164760,1164760,3,,SIDDIQSONS LIMITED,KOHINOOR MILLS LTD,1,0
25500000,25500000,3,,SIDDIQSONS LIMITED,MAHMOOD TEXTILE MILLS LTD,1,1
24000000,24000000,3,,SIDDIQSONS LIMITED,MASOOD FABRICS LIMITED,1,1
990150,990150,3,,SIDDIQSONS LIMITED,RANTEX PRIVATE LIMITED,1,0
169947444,16994744.4,3,9941755,SIDDIQSONS LIMITED,SAPPHIRE TEXTILE MILLS LIMITED,10,1
5999970,5999970,3,,BAYKANLAR TEKSTIL SANVE TICAS,RAJBY TEXTILES PVT LIMITED,1,0
9503952,9503952,3,,BAYKANLAR TEKSTIL SANVE TICAS,US DENIM MILLS PVT LTD,1,0
24705300,8235100,3,1052967.098,US DENIM MILLS PVT LTD,DIN TEXTILE MILLS LIMITED,3,1
79952730,3075105,3,3649739.202,US DENIM MILLS PVT LTD,FAZAL CLOTH MILLS LIMITED,26,1
153320975.4,4258915.984,3,2099353.328,US DENIM MILLS PVT LTD,INDUS DYEING & MFG CO LTD,36,1
7624500,7624500,3,,US DENIM MILLS PVT LTD,INDUS LYALLPUR LIMITED,1,1
16484241,4121060.25,3,2958857.169,US DENIM MILLS PVT LTD,MAHMOOD TEXTILE MILLS LTD,4,1
31025000,15512500,3,1290469.876,US DENIM MILLS PVT LTD,RANTEX PRIVATE LIMITED,2,0
109882517.2,3789052.318,3,2221657.661,US DENIM MILLS PVT LTD,RELIANCE WEAVING MILLS LTD,29,1
2069064889,4949916.002,3,2953035.556,US DENIM MILLS PVT LTD,SAPPHIRE TEXTILE MILLS LIMITED,418,1
1473200,736600,3,319558.525,US DENIM MILLS PVT LTD,SUNRAYS TEXTILE MILLS LIMITED,2,1
4000892.62,4000892.62,14,,ALDAR ALMADANIA EST FOR COMMERCE,GELENCO INTERNATIONAL CO,1,0
116022155.1,14502769.39,5,9498037.979,BBK SA,LUCKY TEXTILE MILLS LIMITED,8,0
2760538,2760538,5,,BBK SA,SA TEXTILE,1,0
239998800,239998800,15,,SHERIDAN AUSTRALIA PTY LTD,MKSONS PVT LIMITED,1,0
128297336.1,64148668.06,15,57204700.93,SHERIDAN AUSTRALIA PTY LTD,THE CRESCENT TEXTILE MILLS LTD,2,0
78620637.8,19655159.45,6,5521505.324,SUMEC TEXTILE AND LIGHT INDUSTRY,NAVEENA INDUSTRIES LIMITED,4,0
49677228.72,9935445.744,6,2529099.172,SUMEC TEXTILE AND LIGHT INDUSTRY,RELIANCE WEAVING MILLS LTD,5,0
7896680,2632226.667,16,223663.7036,ANOOR ENTERPRISE,AL-SIDDIQUE AUTOS,3,0
