Amount,Average,Community_ID,Deviation,Drawee,Exporter,Frequency,Linkage
44037380,44037380,8,,MAIOR LTD 17F 1063 KING'S,PREMIUM LEATHERS PVT LTD,1,0
50333003.88,3355533.592,28,2840880.098,DOUBLE D IMPORT,CAPITAL SPORTS CORPORATIONPVT LTD,15,0
12708717.75,12708717.75,3,,DOTEKS TEKSTIL VE GIDA SAN TIC LTD,AZGARD NINE LIMITED,1,0
129388344.5,12938834.45,3,783209.2805,DOTEKS TEKSTIL VE GIDA SAN TIC LTD,SIDDIQSONS LIMITED,10,0
164457287.8,11746949.13,1,1526006.202,MALHAS LAGOA E MOREIRA LDA,AHMED FINE TEXTILE MILLS LTD,14,0
33532747.73,8383186.933,1,1985321.96,MALHAS LAGOA E MOREIRA LDA,RELIANCE COTTON SPINNING MILLS LTD,4,0
8121079,8121079,3,,VIRTUAL BOTTOMS LTD,ARTISTIC MILLINERS PVT LTD,1,0
14492327,7246163.5,3,3544284.352,VIRTUAL BOTTOMS LTD,KOHINOOR MILLS LTD,2,0
14615927,7307963.5,6,509114.7611,MANIFATTURA MARIO TONETTI E C SPA,KOHINOOR MILLS LTD,2,1
4559977,4559977,6,,MANIFATTURA MARIO TONETTI E C SPA,NAVEENA INDUSTRIES LIMITED,1,0
15150766.71,5050255.57,12,1563819.037,MANIFATTURA MIGNANI MARIO DEI FRA-,BHARARA TEXTILES,3,0
8224007.79,4112003.895,12,645965.2872,MANIFATTURA MIGNANI MARIO DEI FRA-,WORTHTEX INTERNATIONAL,2,0
3725441,3725441,5,,MANOS DE CHILE LTDA,MIAN GHOUS BUX CO AMAZON LLC,1,0
3441583,3441583,5,,MANOS DE CHILE LTDA,PAK TEXTILES TRADER,1,0
41306189.24,8261237.848,5,4971866.625,MANTEROL SA,ARSHAD CORPORATION PVT LTD,5,0
133738788.1,16717348.52,5,9492553.926,MANTEROL SA,GOHAR TEXTILE MILLS PVT LTD,8,0
12306850.31,12306850.31,19,,DONDERS BV,AR YOUSAF,1,0
158947399.5,52982466.48,19,39668462.83,DONDERS BV,M S A R YOUSAF,3,0
5885674.96,5885674.96,0,,MGB METRO GROUP BUYING HK LIMITED,SADAQAT CORPORATION PVT LTD,1,0
173845888.2,6953835.528,0,8967040.034,MGB METRO GROUP BUYING HK LIMITED,SALEEM TEXTILE,25,0
120857589.6,13428621.07,3,5928357.029,FG TEKSTIL KONFEKSIYON SANAYI VE,ARTISTIC MILLINERS PVT LTD,9,0
12662004.06,12662004.06,3,,FG TEKSTIL KONFEKSIYON SANAYI VE,SM TRADERS,1,0
7950440,7950440,1,,FIL EVEREST SL,MEHMOOD TEXT MILLS LTD,1,0
8172924,8172924,1,,FIL EVEREST SL,SAPPHIRE TEXTILE MILLS LIMITED,1,0
622085090.1,14467095.12,22,12708729.53,HOANGDUC PHARMACEUTICAL AND MEDICAL,GETZ PHARMA PVT LTD,43,0
1255182,1255182,22,,HOANGDUC PHARMACEUTICAL AND MEDICAL,THE SCHAZOO PHARMACEUTICAL,1,0
7101323.96,3550661.98,15,1538488.498,HOME ID LTD,DIAMOND FABRICS LIMITED,2,1
6310689,6310689,15,,HOME ID LTD,NIMRA TEXTILEPVTLTD,1,0
1560000,1560000,15,,NIMRA TEXTILEPVTLTD,CHT PAKISTAN PRIVATE LIMITED,1,0
7319180,1829795,15,210539.4914,NIMRA TEXTILEPVTLTD,POLYSOL PAKISTAN,4,0
1980000,1980000,15,,NIMRA TEXTILEPVTLTD,QADRI TEXTILE MILLS LTD,1,0
49317125,3793625,15,1355383.935,NIMRA TEXTILEPVTLTD,TEXTILE WORLD,13,0
31592620,3510291.111,15,2194114.057,NIMRA TEXTILEPVTLTD,THE CRESCENT TEXTILE MILLS LTD,9,0
7551600,1887900,15,32216.14502,NIMRA TEXTILEPVTLTD,TITAN ENTERPRISES,4,0
35786696.66,11928898.89,12,5150514.716,HOME LINEN ALGODON BLANCO SL,KAMRAN TEXTILE PVT LTD,3,1
13842810.06,6921405.03,12,1727354.98,HOME LINEN ALGODON BLANCO SL,SWEETY TEXTILES PVT LIMITED,2,0
1905810.95,1905810.95,0,,HOME PRODUCT IMPORT GMBH,AL HADI TEXTILES PVT LTD,1,0
6672158.76,2224052.92,0,914286.8727,HOME PRODUCT IMPORT GMBH,HOMECARE TEXTILES,3,0
38434530.55,38434530.55,5,,HOMECHOICE PTY LTD,GOHAR TEXTILE MILLS PVT LTD,1,0
27180225,27180225,5,,HOMECHOICE PTY LTD,GUL AHMED TEXTILE MILLS LTD,1,1
12070780,12070780,1,,ULKU KARABAY BEKA DANISMANLIK,HIRA TEXTILE MILLS LIMITED,1,0
15717058,15717058,1,,ULKU KARABAY BEKA DANISMANLIK,INDUS DYEING & MFG CO LTD,1,0
26569692.58,26569692.58,1,,GMS COMPOSITE KNITTING INDLTD,MASOOD SPINNING MILLS LTD,1,0
74776505.71,12462750.95,1,2433623.053,GMS COMPOSITE KNITTING INDLTD,NAGINA COTTON MILLS LTD,6,0
10162869,10162869,3,,HONGKONG FASHIONS LTD,INDIGO TEXTILE PVT LTD,1,0
7424123,7424123,3,,HONGKONG FASHIONS LTD,SIDDIQSONS LIMITED,1,0
4686389.35,4686389.35,2,,HORNBY STREET LTD,AL AZIZ APPARELS SUPPLY,1,0
7084765,7084765,2,,HORNBY STREET LTD,SANDAL EXPORT,1,0
5375973,2687986.5,3,237587.1714,HOSSAIN DYEING AND PRINTING MILLS,BISMILLAH INTERNATIONAL,2,0
14399928,14399928,3,,HOSSAIN DYEING AND PRINTING MILLS,NISHAT MILLS LIMITED,1,0
2594042.8,2594042.8,3,,GLORY FASHION WEAR LTD,INDIGO TEXTILE PVT LTD,1,0
5597888,5597888,3,,GLORY FASHION WEAR LTD,SARENA INDUSTRIES AND EMBROIDERY,1,0
13626484,4542161.333,1,1822340.512,HOWORTHS TEXTILES LTD,SAPPHIRE FIBRES LIMITED,3,0
42160950,14053650,4,9182145.415,UNIVERSAL CABLES INDUSTRIES LTD,ALLIED INDUSTRIES HUB PVT LTD,3,0
8658000,8658000,4,,UNIVERSAL CABLES INDUSTRIES LTD,MUTAHIR METAL WORKS PVT LTD,1,0
33148922,33148922,1,,HURSAN HAVLU URETIM SANVE TIC AS,HIRA TEXTILE MILLS LIMITED,1,0
30238999.96,15119499.98,1,2219041.115,HURSAN HAVLU URETIM SANVE TIC AS,INDUS DYEING & MFG CO LTD,2,0
9017835,4508917.5,1,2629829.821,HYACINTH FABRICS MILLS LTD,INDUS DYEING & MFG CO LTD,2,0
5978180.83,5978180.83,1,,HYACINTH FABRICS MILLS LTD,SAPPHIRE TEXTILE MILLS LIMITED,1,0
12883207.61,2147201.268,4,718860.4893,HYDRA ENTERPRISES,GHANI GLASS LIMITED,6,0
2462008.11,2462008.11,4,,HYDRA ENTERPRISES,UNION TEXTILE INDUSTRIES,1,0
4400570,4400570,36,,GIROTONDO BABY SRL,HUSSAIN CORPORATION,1,1
8753524,8753524,36,,GIROTONDO BABY SRL,USMAN FABRICS PAKISTAN PVTLTD,1,0
3033356.5,3033356.5,1,,I-TEXTILE HK LTD,ISLAND TEXTILE MILLS LIMITED,1,0
2782320.1,2782320.1,1,,I-TEXTILE HK LTD,TATA TEXTILE MILLS LIMITED,1,0
2708140,2708140,8,,GINO ROSSI SPOLKA AKCYJINA,DADA ENTERPRISESPVTLIMITED,1,0
1207525.88,1207525.88,8,,GINO ROSSI SPOLKA AKCYJINA,MIMA LEATHER PVT LTD,1,0
11153708,5576854,19,2612063.763,GIL MACHADO LDA URB QUINTA DO,AR YOUSAF,2,0
7265534,7265534,19,,GIL MACHADO LDA URB QUINTA DO,ROYAL LEATHER INDUSTRIES LTD,1,0
1266980.71,1266980.71,0,,IDANNA APS,GOHAR TEXTILE MILLS PVT LTD,1,1
16197816,4049454,0,2287190.273,IDANNA APS,SHERCOTEX,4,0
5947927,5947927,1,,IDEA FILO SRL,MASOOD SPINNING MILLS LTD,1,0
9665107.01,4832553.505,1,1715327.2,IDEA FILO SRL,SAPPHIRE FIBRES LIMITED,2,0
3401760520,850440130,0,108845760.6,IKEA SUPPLY AG,AL-KARAM TEXTILE MILLS PRIVATE,4,0
6274779365,697197707.2,0,467327922.4,IKEA SUPPLY AG,GUL AHMED TEXTILE MILLS LTD,9,0
3837581,3837581,3,,UNIFILL COMPOSITE DYEING MILLS,FAZAL CLOTH MILLS LIMITED,1,1
24894443,12447221.5,3,6360758.544,UNIFILL COMPOSITE DYEING MILLS,KOHINOOR MILLS LTD,2,0
132718009.6,10209077.66,15,4417393.192,ILUNION TEXTIL SA,ARSHAD CORPORATION PVT LTD,13,1
697055433.9,24894836.92,15,15283658.67,ILUNION TEXTIL SA,THE CRESCENT TEXTILE MILLS LTD,28,0
2489988,2489988,0,,GRADATEX SPRL,Z I S TEXTILES PVT LTD,1,0
25297565.62,8432521.873,1,5987271.173,HERMANOS RODRIGUEZ PONCE CONFECCION,HIRA TEXTILE MILLS LIMITED,3,0
8160750,8160750,4,,HAIDRI BEVERAGES PRIVATELIMITED,ALLIED ENGINEERING & SERVICES LTD,1,0
260293546,21691128.83,4,17134369.88,HAIDRI BEVERAGES PRIVATELIMITED,PAKISTAN ALUMINIUM BEVERAGES CANS,12,0
2672987,2672987,0,,HADDAD INTERNATIONAL LLC,SALEEM TEXTILE,1,0
4736257,2368128.5,46,111920.1542,UNIQUE MARBLE AND GRANITE LTD,HAFEEZ MARBLE,2,0
39733738,7946747.6,3,4405136.342,HA HAE CORPORATION,KOHINOOR MILLS LTD,5,0
126905237,31726309.25,3,18969231.85,HA HAE CORPORATION,SAPHIRE FINISHING MILLS LTD,4,0
599872.4,599872.4,8,,GUN YOUNG LEATHER CO LTD,MIMA LEATHER PVT LTD,1,0
4787976,4787976,6,,HAN T N G COLTD,COLONY TEXTILE MILLS LIMITED,1,0
4384778,4384778,6,,HAN T N G COLTD,RELIANCE WEAVING MILLS LTD,1,0
16505917,16505917,1,,HANA TOWEL COLTD,FAZAL CLOTH MILLS LIMITED,1,0
64793272.65,5890297.514,1,539670.8361,HANA TOWEL COLTD,UMAR SPINNING MILLS PVT LTD,11,0
11879940,5939970,1,0,HANBEAL TEXTILE COLTD,SAPPHIRE TEXTILE MILLS LIMITED,2,0
6299969,6299969,1,,HANBEAL TEXTILE COLTD,UMAR SPINNING MILLS PVT LTD,1,0
109814451,54907225.5,6,11463557.86,HANG HING WEAVING FACTORY LTD,AMER COTTON MILLS PVT LTD,2,1
25717502.45,25717502.45,6,,HANG HING WEAVING FACTORY LTD,HUSSAIN MILLS LIMITED,1,0
33395686.09,33395686.09,1,,HANG TUNG RESOURCES LIMITED,EASTERN SPINNING MILLS LIMITED,1,0
5582944.94,5582944.94,1,,HANG TUNG RESOURCES LIMITED,SALFI TEXTILE MILLS LIMITED,1,0
95999520,95999520,17,,HANGZHOU HANGZHONG PLASTIC CO LTD JIANGJIANBATOU CHAIJIAWU VILLAGE T,MIR MINES AND MINERALS,1,0
214438928,42887785.6,17,7166184.938,HANGZHOU HANGZHONG PLASTIC CO LTD JIANGJIANBATOU CHAIJIAWU VILLAGE T,UNITED ENTERPRISES,5,0
2939313,2939313,1,,GUILLEN FERRERO SL,RELIANCE COTTON SPINNING MILLS LTD,1,0
21167895,10583947.5,1,712760.0999,GUILLEN FERRERO SL,ZEEMAN TEXTIEL SUPERS B V,2,1
10048181.68,5024090.84,3,2512995.176,UNITED APPARELS INDUSTRY LTD,ARTISTIC MILLINERS PVT LTD,2,0
5805216.75,5805216.75,3,,UNITED APPARELS INDUSTRY LTD,SIDDIQSONS LIMITED,1,0
83894378,41947189,17,1622658.742,GUANGXI PAN - SEA TRADING COLTD,MIR MINES AND MINERALS,2,0
275518622,91839540.67,17,19299146.84,GUANGXI PAN - SEA TRADING COLTD,UNITED ENTERPRISES,3,0
16563396.49,2070424.561,22,1853015.092,UNITED STORES,AL ASAD RICE MILLS,8,0
1202882.75,1202882.75,22,,UNITED STORES,PAKISTAN RICE COMPLEX,1,0
33047835,33047835,6,,HAPUTEX LIMITED,PROSPERITY WEAVING MILLS LTD,1,0
33599832,33599832,6,,HAPUTEX LIMITED,RELIANCE WEAVING MILLS LTD,1,0
10355630.92,3451876.973,21,236584.7647,HASAN ENTERPRISE,AFTAB AND CO KARACHI,3,0
8198019,4099009.5,12,298439.3667,GRUPPO IMPORTATORI TESSILI SPA,LAL INDUSTRIES,2,0
5062875,5062875,12,,GRUPPO IMPORTATORI TESSILI SPA,M YAHYA M YOUSUF BARI,1,1
5577572,5577572,12,,GRUPPO BATTAGLIA SRL,HUSSAIN MILLS LIMITED,1,1
12874610.57,3218652.643,12,1620625.055,GRUPPO BATTAGLIA SRL,ZEPHYR TEXTILES LIMITED,4,0
2585347.55,861782.5167,22,531075.7363,HAYASHI CUTLERY CO LTD,HILBRO INTERNATIONALPVT LTD,3,0
95137593,19027518.6,3,3203736.032,GROTTO SPA,COTTON WEB LIMITED,5,0
38856313.54,38856313.54,3,,GROTTO SPA,TEXMODE,1,0
3543483.38,3543483.38,15,,GRANDES TIENDAS MONTEVIDEO SA,H A R TEXTILE MILLS PVT LTD,1,1
101248081.6,4218670.065,15,3256521.255,GRANDES TIENDAS MONTEVIDEO SA,SKY INDUSTRIES,24,0
13426563.75,3356640.938,3,836744.1072,TROUSER WORLD PVTLTD,DENIM INTERNATIONAL,4,0
3326232.3,3326232.3,3,,TROUSER WORLD PVTLTD,MARFANI DENIM MILLS,1,0
61535069,15383767.25,1,7470754.394,IMKA IPLIK TEKSTIL ISLETMELERI,ABTEX INTERNATIONAL LTD,4,0
6976719.95,6976719.95,1,,IMKA IPLIK TEKSTIL ISLETMELERI,SAIF TEXTILE MILLS LTD,1,0
104632389.8,11625821.09,12,3468110.509,IMPORTADORA Y DISTRIBUIDORA HOHOS,A I TEXTILES,9,0
10950872,10950872,12,,IMPORTADORA Y DISTRIBUIDORA HOHOS,AI TEXTILES LTD,1,0
10287262.47,5143631.235,15,1947427.59,FRAME MANCHESTER A DIV,MKSONS PVT LIMITED,2,0
15273169.63,7636584.815,15,1646127.326,FRAME MANCHESTER A DIV,THE CRESCENT TEXTILE MILLS LTD,2,0
34873520.29,17436760.15,5,103869.9486,FRAMATEA SL,ARSHAD CORPORATION PVT LTD,2,0
5957930.56,5957930.56,5,,FRAMATEA SL,NASEEM FABRICS,1,0
31420334,10473444.67,3,17508507.38,FOUNTAIN GARMENTS MANUFACTURING,KOHINOOR MILLS LTD,3,0
10595010,2648752.5,3,1019514.55,FOUNTAIN GARMENTS MANUFACTURING,SIDDIQSONS LIMITED,4,0
3803981,3803981,12,,JAWAD ABDULLAH AL SAFFAR GEN TRAD,DUNIA TRADING CO,1,0
6479968,6479968,3,,TSUBOUCHI TOWEL INC,MAHMOOD TEXTILE MILLS LTD,1,1
7718961,7718961,3,,TSUBOUCHI TOWEL INC,NISHAT MILLS LIMITED,1,0
3598188.4,3598188.4,19,,FORWARD APPAREL LIMITED CORPORATION,M S A R YOUSAF,1,0
1573684.43,1573684.43,19,,FORWARD APPAREL LIMITED CORPORATION,YOUSAF TANNERIES,1,0
44182874.48,7363812.413,3,8723804.01,JEANS 2000 LTD,ARTISTIC MILLINERS PVT LTD,6,0
19641502,19641502,3,,JEANS 2000 LTD,M S RANA TEXTILE MILLS LIMITEDDF,1,0
35547176,5924529.333,12,277017.7305,FORTUNA TEXTILES I-E SL,HUDABIA TEXTILE,6,1
5639951.12,5639951.12,12,,FORTUNA TEXTILES I-E SL,MODERN WEAVING FACTORY,1,0
910529.94,455264.97,0,184535.9619,JENSAL WHOLESALE LIMITED,CHAMAN SULTANA FABRICS PVT LTD,2,0
8106936.21,4053468.105,3,1694830.154,JERAT FASHION LTD,MASTER TEXTILE MILLS LIMITED,2,0
1646694.19,1646694.19,3,,JERAT FASHION LTD,SHAFI TEXCEL LIMITED,1,0
7328695,7328695,3,,FOLGAROLAS TEXTIL SA,NISHAT MILLS LIMITED,1,0
11054190.14,5527095.07,3,27371.41054,FOLGAROLAS TEXTIL SA,SAPPHIRE TEXTILE MILLS LIMITED,2,1
13211934,6605967,12,677122.6252,JIAXING HONDAR PACKAGING,BSINDUSTRIES,2,0
13115414,3278853.5,4,2157868.581,FLYING CEMENT COMPANY LTD,AA ENTERPRISES,4,0
2771663,2771663,6,,VANGUARD INDUSTRIES PVT LIMITED,NPCOTTON MILLS LTD,1,0
26192202.7,6548050.675,6,4495032.133,VANGUARD INDUSTRIES PVT LIMITED,ZEEMAN TEXTIEL SUPERS B V,4,0
5303143.95,5303143.95,1,,JIN SUNG K AND S CO LTD,GADOON TEXTILE MILLS LTD,1,0
5092639.47,5092639.47,1,,JIN SUNG K AND S CO LTD,SALFI TEXTILE MILLS LIMITED,1,0
1778174.5,1778174.5,19,,JINO TRADING CORP,SIDDIQ LEATHER WORKS PVT LTD,1,0
12597288.09,969022.1608,19,359633.8233,JINO TRADING CORP,YOUSAF TANNERIES,13,0
6500846,6500846,1,,JMA FELPOS SA,MAHMOOD TEXTILE MILLS LTD,1,0
6552236,6552236,1,,JMA FELPOS SA,ROOMI FABRICS LIMITED,1,0
15240639.8,5080213.267,1,2703368.737,JOAO E FELICIANO SA,FAZAL CLOTH MILLS LIMITED,3,0
6903843,6903843,1,,JOAO E FELICIANO SA,MASOOD SPINNING MILLS LTD,1,0
4761174,4761174,5,,FIS DOO VITEZ,EARTEX,1,0
2805869,2805869,5,,FIS DOO VITEZ,MULTIMAT INT,1,0
34295990,8573997.5,6,2116279.526,JOSE FONTAO E CIA LDA,HUSNAIN TEXTILE MILLS PVT LTD,4,1
7033981.92,7033981.92,6,,JOSE FONTAO E CIA LDA,SHAHTAJ TEXTILE LIMITED,1,0
15775813,15775813,19,,JSR SAS,UP 2U IMPEX,1,0
14280282.41,4760094.137,5,1336673.17,VAYOIL TEXTIL SA,AL RAHIM TEXTILE INDUSTRIES,3,0
34101537.37,8525384.343,5,1117496.73,VAYOIL TEXTIL SA,NAVEENA INDUSTRIES LIMITED,4,1
14484000,14484000,5,,AL RAHIM TEXTILE INDUSTRIES,FAZAL WEAVING MILLS LTD,1,1
8863612,2954537.333,5,1122653.485,AL RAHIM TEXTILE INDUSTRIES,HUNTSMAN TEXTILE EFFECTS PAK PV LTD,3,0
178532024,35706404.8,5,18973907.82,AL RAHIM TEXTILE INDUSTRIES,INDUS DYEING & MFG CO LTD,5,1
52220000,10444000,5,6296100.38,AL RAHIM TEXTILE INDUSTRIES,INDUS LYALLPUR LIMITED,5,1
45045000,9009000,5,6238846.448,AL RAHIM TEXTILE INDUSTRIES,NISAR SPINNING MILLS PVT LIMITED,5,1
55860000,13965000,5,9819862.524,AL RAHIM TEXTILE INDUSTRIES,RELIANCE WEAVING MILLS LTD,4,1
13600000,6800000,5,0,AL RAHIM TEXTILE INDUSTRIES,ROOMI FABRICS LIMITED,2,1
69600000,69600000,5,,AL RAHIM TEXTILE INDUSTRIES,SAPPHIRE TEXTILE MILLS LIMITED,1,1
4580000,4580000,5,,AL RAHIM TEXTILE INDUSTRIES,SIDDIQSONS LIMITED,1,1
48242159,12060539.75,1,2826214.097,FILMAR SPA,MAHMOOD TEXTILE MILLS LTD,4,0
21779891,10889945.5,1,127278.5135,FILMAR SPA,MEHMOOD TEXT MILLS LTD,2,0
8742532,4371266,10,250110.7396,VDS VANDERSCHOOTEN,AL-AZMAT PRIVATE LTD,2,0
104715448,17452574.67,10,16334440.07,VDS VANDERSCHOOTEN,NISHAT CHUNIAN LIMITED,6,1
5800928.21,2900464.105,18,66492.11442,JAFFAR ALI MABAD EST,PT SUKSES JAYA PERKASA,2,0
3286064,3286064,0,,FRANCO MANUFACTURING COMPANY INC,AFROZE TEXTILE INDUSTRIES PVT LTD,1,0
7182289.55,2394096.517,0,1443114.544,FRANCO MANUFACTURING COMPANY INC,ARZOO TEXTILE MILLS LTD,3,0
11723917,11723917,0,,ITM ALIMENTAIRE INTERNATIONAL,SADAQAT CORPORATION PVT LTD,1,0
12427609.28,12427609.28,0,,ITM ALIMENTAIRE INTERNATIONAL,YUNUS TEXTILE MILLS LIMITED,1,1
3200714.1,3200714.1,12,,IMPTEX INTERNATIONAL CORP,GHAZI FABRICS INTERNATIONAL LTD,1,1
9345518,4672759,12,1282992.929,IMPTEX INTERNATIONAL CORP,ZOHAIB ABID TEXTILES,2,0
9403388,4701694,5,0,GEMITEX SPA,DIAMOND FABRICS LIMITED,2,1
80352121.55,4726595.385,5,1181531.213,GEMITEX SPA,HUDABIA TEXTILE,17,0
9437259.08,9437259.08,6,,INDTESSILE GASTALDI AND C SPA,SHAFI TEXCEL LIMITED,1,1
15774478.64,7887239.32,6,4136993.192,INDTESSILE GASTALDI AND C SPA,SPRING TEXTILE,2,0
3564739.89,3564739.89,8,,UAB KESKO SENUKAI LITHUANIA,G TEX INTERNATIONAL,1,0
1093587.78,1093587.78,8,,UAB KESKO SENUKAI LITHUANIA,KICKER SPORTS,1,0
57806495,28903247.5,1,10218840.62,GELAL CORAP SAN VE TIC AS,EASTERN SPINNING MILLS LIMITED,2,0
286095854.1,23841321.17,1,28521724.25,GELAL CORAP SAN VE TIC AS,SAPPHIRE TEXTILE MILLS LIMITED,12,0
362433.8,362433.8,8,,U V OVERSEAS KHASRA NO 1282 VILLAG,DIN LEATHER PRIVATE LIMITED,1,0
6776276.35,1694069.088,8,867208.0195,U V OVERSEAS KHASRA NO 1282 VILLAG,PREMIUM LEATHERS PVT LTD,4,0
5888371,5888371,6,,Te F 2008 SRL,COLONY TEXTILE MILLS LIMITED,1,0
86979216.12,17395843.22,6,8599839.906,Te F 2008 SRL,KOHINOOR MILLS LTD,5,1
7518817.87,2506272.623,8,653600.3385,INDUSTRIAS MERCURY SA,COMET SPORTS PVTLTD,3,0
1187994,1187994,8,,INDUSTRIAS MERCURY SA,SILVER STAR ENTERPRISES PVT LTD,1,0
260903679.9,21741973.32,0,26624741.15,SUN GARDEN POLSKA SP ZOO,BISMILLAH TEXTILES LIMITED,12,0
25386369.74,12693184.87,0,8787831.704,SUN GARDEN POLSKA SP ZOO,DIAMOND FABRICS LIMITED,2,1
26673192,13336596,4,0,INSTAPLAST PRIVATE LIMITED,NOVATEX LIMITED,2,0
5345610.94,5345610.94,12,,INTEGRAL HOTEL SUPPLIES COLTD,AL BARKA FABRICS PVT LTD,1,0
29333558.37,4888926.395,12,3044055.519,INTEGRAL HOTEL SUPPLIES COLTD,CONTINENTAL TEXTILES PVT LTD,6,0
25843998.58,6460999.645,12,910519.0753,GANDITEX SRL,BHARARA TEXTILES,4,0
4617433.1,4617433.1,12,,GANDITEX SRL,SHAFI TEXCEL LIMITED,1,1
96997621.59,32332540.53,3,14337236.93,UNIVOGUE GARMENTS COMPANY LIMITED,KOHINOOR MILLS LTD,3,0
14755277,14755277,3,,UNIVOGUE GARMENTS COMPANY LIMITED,SAPHIRE FINISHING MILLS LTD,1,0
3441300,3441300,19,,INTERTEX INTERNATIONAL,DIAMOND FABRICS LIMITED,1,1
23163477.57,5790869.393,19,4213342.068,INTERTEX INTERNATIONAL,MAHEEN TEXTILE MILLS PVT LTD,4,0
3707771.13,1853885.565,5,1027991.973,FW BRUGEMANN SOHNE GMBH AND CO,ABDUR RAHMAN CORPORATION PVT,2,0
5912523,2956261.5,5,675935.393,FW BRUGEMANN SOHNE GMBH AND CO,RAINBOW INDUSTRIES,2,0
80319078,16063815.6,3,20360903.18,TUSUKA TROUSERS LTD,ARTISTIC MILLINERS PVT LTD,5,0
95202416.74,47601208.37,3,64259193.38,TUSUKA TROUSERS LTD,M S RANA TEXTILE MILLS LIMITEDDF,2,0
684074.19,684074.19,3,,FUN FACTORY LTD,MASTER TEXTILE MILLS LIMITED,1,0
1511239.13,1511239.13,3,,FUN FACTORY LTD,SAPHIRE FINISHING MILLS LTD,1,0
63737422.35,5794311.123,4,2882577.381,IPH BRANDS,M S NAZ LEATHER INDUS,11,0
45690976.8,6527282.4,4,3042134.117,IPH BRANDS,NAZ LEATHER INDUSTRIES,7,0
28087660,14043830,3,2897285.183,TUSUKA JEANS LTD,ARTISTIC MILLINERS PVT LTD,2,0
1481753,1481753,3,,TUSUKA JEANS LTD,INDIGO TEXTILE PVT LTD,1,0
13940888.08,13940888.08,3,,TUSUKA JEANS LIMITED,ARTISTIC MILLINERS PVT LTD,1,0
12970214,12970214,3,,TUSUKA JEANS LIMITED,SIDDIQSONS LIMITED,1,0
6599433.16,6599433.16,26,,ISLAM KNIT DESIGNS LTD,ARCHOMA TEXTILES CHEMICALS PAKISTAN,1,0
2998504.28,2998504.28,26,,ISLAM KNIT DESIGNS LTD,CHEMTECHINTERNATIONAL,1,0
5021000,2510500,26,0,CHEMTECHINTERNATIONAL,ILYAS SONS CORPORATION,2,0
7186800,7186800,26,,CHEMTECHINTERNATIONAL,MULTI RESIN INDUSTRIES,1,0
35019184.17,7003836.834,4,2836029.047,FUJIAN QUANZHOU NANXING MARBLE,KARIM GRANITE and MARBLE IND,5,0
14249929,14249929,4,,FUJIAN QUANZHOU NANXING MARBLE,POPULAR MARBLE INDUSTRIES,1,0
2886918.6,2886918.6,12,,FUJIAN BAICHUAN,M/S NOMAN INTERNATIONAL,1,0
97592590.75,6970899.339,12,1835667.033,FUJIAN BAICHUAN,VARYA ENTERPRISES,14,0
22349164.58,7449721.527,5,1614892.579,FRESMARVI SL,ARSHAD CORPORATION PVT LTD,3,0
14792028.81,7396014.405,5,3853526.324,FRESMARVI SL,NASEEM FABRICS,2,0
14093176,7046588,15,6208198.135,MI CASA ES TU CASA SOURCING,NIMRA TEXTILEPVTLTD,2,0
26080600.45,13040300.23,15,2936296.257,MI CASA ES TU CASA SOURCING,NISHAT CHUNIAN LIMITED,2,1
2285895.62,2285895.62,8,,THEPWAN MARKETING COLTD,SHEIKHAN INTIL PVT LTD,1,0
614397,614397,8,,THEPWAN MARKETING COLTD,SHEIKHAN SPORTS,1,0
108837275,27209318.75,30,8796298.715,MIDDLE EAST INFRATECH LIMITED,DIRECTOR FOOD FOOD DEPARTMENT,4,0
15870000,15870000,30,,MIDDLE EAST INFRATECH LIMITED,GOVERNMENT OF SINDH,1,0
27605780.01,6901445.003,6,2776965.083,OSBORN UNIPOL LDA,GHAZI FABRICS INTERNATIONAL LTD,4,1
49189353,8198225.5,6,543749.1765,OSBORN UNIPOL LDA,RELIANCE WEAVING MILLS LTD,6,0
445000000,74166666.67,47,31524064.88,OUTREACH PVT LIMITED,ALLIED OILS AND ENERGY PVT LTD,6,0
1558517.65,1558517.65,5,,WORLD TRADE D O O,EARTEX,1,0
931909.88,931909.88,5,,WORLD TRADE D O O,RAINBOW INDUSTRIES,1,0
6984281,6984281,8,,CDINTERNATIONAL,ELEGANT PRIVATE LIMITED,1,0
18499108,4624777,8,3219488.979,CDINTERNATIONAL,PREMIUM LEATHERS PVT LTD,4,0
6251609,3125804.5,3,3309837.442,PACIFIC BLUE JEANS WEAR LTD,ARTISTIC MILLINERS PVT LTD,2,0
2486327.26,2486327.26,3,,PACIFIC BLUE JEANS WEAR LTD,KOHINOOR MILLS LTD,1,0
1286561.55,1286561.55,26,,PACIFIC JEANS LTD,ARCHOMA TEXTILES CHEMICALS PAKISTAN,1,0
81510307.39,13585051.23,26,18796621.1,PACIFIC JEANS LTD,ARTISTIC MILLINERS PVT LTD,6,1
6907386,6907386,1,,Weber u Heusser GmbH u Co KG,EASTERN SPINNING MILLS LIMITED,1,0
23873756,5968439,1,251154.1269,Weber u Heusser GmbH u Co KG,ROOMI FABRICS LIMITED,4,0
82389700,16477940,3,10711873.83,PAK DENIM LIMITED,INDUS DYEING & MFG CO LTD,5,1
966000,966000,3,,PAK DENIM LIMITED,SIDDIQSONS LIMITED,1,0
